id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MYSM1__P1P2	8	1.9204e-12	4.9462e-06	2.5e-05	1	8	-4.4921	1.0	1.0	1.0	971	0	0
ATP6AP1__P1P2	8	8.3975e-10	4.9462e-06	2.5e-05	2	8	-3.2513	1.0	1.0	1.0	957	0	0
CENPF__P1P2	8	8.9285e-10	4.9462e-06	2.5e-05	3	8	-3.2778	1.0	1.0	1.0	970	0	0
ANAPC13__P1P2	8	1.3935e-09	4.9462e-06	2.5e-05	4	8	-3.3067	1.0	1.0	1.0	969	0	0
NDUFS8__P1P2	8	1.8849e-09	4.9462e-06	2.5e-05	5	7	-3.207	0.56293	0.25429	0.821157	300	0	0
C7orf26__P1P2	8	6.5059e-09	4.9462e-06	2.5e-05	6	8	-3.1355	1.0	1.0	1.0	968	0	0
PPM1G__P1	8	7.7362e-09	4.9462e-06	2.5e-05	7	8	-2.8558	1.0	1.0	1.0	967	0	0
MLF1IP__P1P2	8	9.5704e-09	4.9462e-06	2.5e-05	8	7	-3.382	0.97445	0.99546	1.0	767	0	0
UBE2S__P1P2	8	1.4768e-08	4.9462e-06	2.5e-05	9	8	-2.3499	1.0	1.0	1.0	966	0	0
KIAA0020__P1	8	1.7034e-08	4.9462e-06	2.5e-05	10	7	-3.0279	0.8749	0.89029	1.0	611	0	0
ORC5__P1P2	8	2.0088e-08	4.9462e-06	2.5e-05	11	8	-3.228	0.99998	1.0	1.0	930	0	0
HUS1__P1P2	8	3.6014e-08	4.9462e-06	2.5e-05	12	8	-3.1347	1.0	1.0	1.0	951	0	0
PMVK__P1P2	8	3.7579e-08	4.9462e-06	2.5e-05	13	8	-2.5558	1.0	1.0	1.0	965	0	0
CEP63__P1P2	8	3.9772e-08	4.9462e-06	2.5e-05	14	8	-3.4355	1.0	1.0	1.0	941	0	0
RPL36A__P1P2	8	1.2548e-07	4.9462e-06	2.5e-05	15	8	-2.6892	1.0	1.0	1.0	964	0	0
RNF8__P1P2	8	1.2853e-07	4.9462e-06	2.5e-05	16	8	-2.57	1.0	1.0	1.0	963	0	0
PDS5B__P1P2	8	1.5721e-07	4.9462e-06	2.5e-05	17	8	-1.9949	1.0	1.0	1.0	962	0	0
MINOS1-NBL1__P1P2	8	1.7055e-07	4.9462e-06	2.5e-05	18	8	-2.0412	1.0	1.0	1.0	961	0	0
TUBA1C__P1P2	8	1.7541e-07	4.9462e-06	2.5e-05	19	8	-2.1907	1.0	1.0	1.0	959	0	0
LEO1__P1P2	8	2.0952e-07	4.9462e-06	2.5e-05	20	8	-2.5442	1.0	1.0	1.0	960	0	0
METTL15__P2	8	2.6177e-07	4.9462e-06	2.5e-05	21	8	-3.0107	1.0	1.0	1.0	958	0	0
BUB1__P1P2	8	3.5392e-07	4.9462e-06	2.5e-05	22	8	-2.9297	1.0	1.0	1.0	956	0	0
RAD9A__P1P2	8	3.6303e-07	4.9462e-06	2.5e-05	23	7	-3.703	0.88284	0.90253	1.0	617	0	0
ZNF462__P1P2	8	3.9142e-07	4.9462e-06	2.5e-05	24	8	-1.9109	1.0	1.0	1.0	953	0	0
WDR70__P1P2	8	4.6138e-07	4.9462e-06	2.5e-05	25	8	-2.4904	1.0	1.0	1.0	955	0	0
MAD2L1BP__P1P2	8	6.1735e-07	4.9462e-06	2.5e-05	26	8	-3.0643	1.0	1.0	1.0	954	0	0
ACTR8__P1P2	8	6.4322e-07	4.9462e-06	2.5e-05	27	8	-2.3638	1.0	1.0	1.0	946	0	0
H2AFZ__P1P2	8	6.5163e-07	4.9462e-06	2.5e-05	28	8	-1.7127	1.0	1.0	1.0	952	0	0
MUT__P1P2	11	8.5581e-07	4.9462e-06	2.5e-05	29	9	-1.7868	0.99859	1.0	1.0	866	0	0
PALB2__P1P2	8	9.2235e-07	4.9462e-06	2.5e-05	30	7	-2.7212	0.94022	0.97467	1.0	688	0	0
KIF18B__P1P2	8	1.0434e-06	4.9462e-06	2.5e-05	31	8	-1.4538	1.0	1.0	1.0	950	0	0
DICER1__P1P2	8	1.3823e-06	4.9462e-06	2.5e-05	32	8	-1.9438	1.0	1.0	1.0	949	0	0
NSMCE4A__P1P2	8	1.5073e-06	4.9462e-06	2.5e-05	33	8	-1.8425	0.99999	1.0	1.0	938	0	0
EMC1__P1P2	8	1.5267e-06	4.9462e-06	2.5e-05	34	7	-2.2521	0.99837	1.0	1.0	861	0	0
NRF1__P1P2	8	1.5577e-06	4.9462e-06	2.5e-05	35	8	-2.3942	1.0	1.0	1.0	948	0	0
UBE2C__P1P2	8	2.011e-06	4.9462e-06	2.5e-05	36	8	-3.1156	0.99997	1.0	1.0	927	0	0
CHEK1__P1P2	8	2.077e-06	4.9462e-06	2.5e-05	37	8	-2.5733	0.99998	1.0	1.0	932	0	0
MKI67__P1P2	8	2.5632e-06	4.9462e-06	2.5e-05	38	8	-1.679	1.0	1.0	1.0	947	0	0
SAE1__P1P2	8	2.8231e-06	4.9462e-06	2.5e-05	39	7	-3.2623	0.99724	0.99999	1.0	850	0	0
PPP2R5C__P1P2	8	3.3615e-06	4.9462e-06	2.5e-05	40	7	-1.9312	0.99995	1.0	1.0	919	0	0
CYLD__P1P2	8	3.4179e-06	4.9462e-06	2.5e-05	41	8	-1.0829	1.0	1.0	1.0	945	0	0
SEC62__P1P2	8	3.7584e-06	4.9462e-06	2.5e-05	42	8	-1.4177	1.0	1.0	1.0	944	0	0
