sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
TP53_+_7590780.23-P1P2	TP53__P1P2	13345	1.8339e+05/1.8586e+05	13345	1.8463e+05	3.7901	3.051e+06	2.1795e+06	116.02	1	0	0	0	True
TP53__P1P2__primarysecondary__FWD__34	TP53__P1P2	12717	1.7859e+05/1.7945e+05	12717	1.7902e+05	3.8152	3.7243e+05	2.0769e+06	115.4	1	0	0	0	True
TP53__P1P2__primarysecondary__RVS__44	TP53__P1P2	9523.5	1.3191e+05/1.3114e+05	9523.5	1.3153e+05	3.7876	2.9585e+05	1.5553e+06	97.827	1	0	0	0	True
TP53_+_7590763.23-P1P2	TP53__P1P2	9587.2	1.2279e+05/1.1134e+05	9587.2	1.1707e+05	3.6099	6.5619e+07	1.5657e+06	85.894	1	0	0	0	True
TP53_+_7590774.23-P1P2	TP53__P1P2	9534.7	1.205e+05/1.0856e+05	9534.7	1.1453e+05	3.5862	7.1235e+07	1.5571e+06	84.139	1	0	0	0	True
TP53__P1P2__primarysecondary__FWD__60	TP53__P1P2	8672.1	94732/90884	8672.1	92808	3.4196	7.402e+06	1.4163e+06	70.699	1	0	0	0	True
USP28__P1P2__primary__FWD__35	USP28__P1P2	8490.3	79299/83449	8490.3	81374	3.2605	8.6092e+06	1.3866e+06	61.896	1	0	0	0	True
TP53_-_7590396.23-P1P2	TP53__P1P2	6906.6	65636/73985	6906.6	69811	3.3372	3.4853e+07	1.1279e+06	59.23	1	0	0	0	True
USP28_+_113746238.23-P1P2	USP28__P1P2	4851.2	56050/56259	4851.2	56155	3.5327	21842	7.9225e+05	57.639	1	0	0	0	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	15515	1.0083e+05/88900	15515	94864	2.6121	7.1154e+07	2.5338e+06	49.849	1	0	0	0	True
USP28__P1P2__primary__RVS__65	USP28__P1P2	5748.1	47609/52574	5748.1	50092	3.1232	1.2325e+07	9.3873e+05	45.768	1	0	0	0	True
USP28__P1P2__primary__FWD__55	USP28__P1P2	5588.5	45891/47630	5588.5	46760	3.0645	1.5117e+06	9.1267e+05	43.097	1	0	0	0	True
USP28_+_113746234.23-P1P2	USP28__P1P2	5430.9	43257/46503	5430.9	44880	3.0466	5.2663e+06	8.8693e+05	41.888	1	0	0	0	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	13368	75579/74673	13368	75126	2.4905	4.1062e+05	2.1831e+06	41.798	1	0	0	0	True
USP28_-_113746230.23-P1P2	USP28__P1P2	6722.7	53411/46799	6722.7	50105	2.8977	2.1855e+07	1.0979e+06	41.403	1	0	0	0	True
BBC3__P1P2__secondary__FWD__29	BBC3__P1P2	4851.2	28181/28551	4851.2	28366	2.5475	68427	7.9225e+05	26.419	1	4.1639e-154	8.3279e-154	5.0441e-151	True
RBM15__110881839__FWD__75	RBM15__110881839	5192.5	28748/26400	5192.5	27574	2.4086	2.7563e+06	8.4801e+05	24.305	1	8.77e-131	1.754e-130	9.9988e-128	True
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	6995.4	34666/31243	6995.4	32954	2.2358	5.8584e+06	1.1424e+06	24.287	1	1.3506e-130	2.7011e-130	1.4543e-127	True
TP53__P1P2__primarysecondary__FWD__51	TP53__P1P2	4087.6	21591/26143	4087.6	23867	2.5454	1.036e+07	6.6755e+05	24.209	1	8.9139e-130	1.7828e-129	9.0931e-127	True
TP53BP1__P1__primarysecondary__RVS__67	TP53BP1__P1	4799.6	26437/25854	4799.6	26145	2.4453	1.7004e+05	7.8384e+05	24.11	1	9.8516e-129	1.9703e-128	9.5472e-126	True
BBC3_+_47734383.23-P1P2	BBC3__P1P2	5115.8	25927/27716	5115.8	26821	2.3901	1.6013e+06	8.3547e+05	23.747	1	5.9086e-125	1.1817e-124	5.4534e-122	True
TP53BP1_+_43785309.23-P1	TP53BP1__P1	4561.3	24658/25121	4561.3	24890	2.4478	1.0752e+05	7.4491e+05	23.553	1	5.8358e-123	1.1672e-122	5.1414e-120	True
BBC3__P1P2__secondary__RVS__26	BBC3__P1P2	4986.5	25437/26892	4986.5	26164	2.3913	1.0575e+06	8.1436e+05	23.468	1	4.3253e-122	8.6507e-122	3.6449e-119	True
CCDC6__P1P2__secondary__FWD__47	CCDC6__P1P2	4804.7	23896/26497	4804.7	25197	2.3905	3.3817e+06	7.8467e+05	23.021	1	1.45e-117	2.9e-117	1.171e-114	True
TGFBR2_+_30648526.23-P1P2	TGFBR2__P1P2	5153.2	25119/26987	5153.2	26053	2.3377	1.7451e+06	8.4157e+05	22.783	1	3.4097e-115	6.8193e-115	2.6434e-112	True
TGFBR2_+_30648147.23-P1P2	TGFBR2__P1P2	4421.9	23027/24255	4421.9	23641	2.4183	7.5324e+05	7.2215e+05	22.616	1	1.5066e-113	3.0131e-113	1.1231e-110	True
CCDC6__P1P2__secondary__FWD__71	CCDC6__P1P2	5278.4	22902/27915	5278.4	25408	2.2669	1.2564e+07	8.6203e+05	21.681	1	1.5448e-104	3.0896e-104	1.1089e-101	True
TP53BP1_+_43785295.23-P1	TP53BP1__P1	5500.6	25906/25410	5500.6	25658	2.2215	1.2291e+05	8.9832e+05	21.268	1	1.1342e-100	2.2683e-100	7.8508e-98	True
TGFBR2__P1P2__primary__RVS__73	TGFBR2__P1P2	3555.3	19363/18832	3555.3	19098	2.425	1.4079e+05	5.8062e+05	20.397	1	8.8866e-93	1.7773e-92	5.9393e-90	True
RBM15__110881839__FWD__72	RBM15__110881839	3739.1	18812/20423	3739.1	19618	2.3911	1.2985e+06	6.1064e+05	20.32	1	4.3169e-92	8.6338e-92	2.789e-89	True
NF2__29999349__FWD__97	NF2__29999349	6576.3	27511/27423	6576.3	27467	2.0622	3871	1.074e+06	20.158	1	1.1355e-90	2.2711e-90	7.0996e-88	True
TGFBR2_+_30648131.23-P1P2	TGFBR2__P1P2	4811.8	21824/23287	4811.8	22556	2.2286	1.0703e+06	7.8582e+05	20.017	1	1.9724e-89	3.9447e-89	1.1946e-86	True
PMAIP1__57567020__FWD__0	PMAIP1__57567020	7626.7	30324/29074	7626.7	29699	1.9611	7.814e+05	1.2455e+06	19.777	1	2.3466e-87	4.6931e-87	1.3782e-84	True
TGFBR2_+_30648531.23-P1P2	TGFBR2__P1P2	4115.9	20307/19966	4115.9	20136	2.2903	58067	6.7217e+05	19.541	1	2.4829e-85	4.9659e-85	1.4154e-82	True
CCDC6_+_61666146.23-P1P2	CCDC6__P1P2	4964.3	22576/22365	4964.3	22470	2.1781	22360	8.1073e+05	19.442	1	1.6879e-84	3.3758e-84	9.3471e-82	True
TP53BP1_+_43785094.23-P1	TP53BP1__P1	3044.2	16340/16997	3044.2	16668	2.4526	2.1586e+05	4.9716e+05	19.323	1	1.7332e-83	3.4665e-83	9.3316e-81	True
USP28_+_113745821.23-P1P2	USP28__P1P2	4299.7	19487/21246	4299.7	20366	2.2436	1.5463e+06	7.0219e+05	19.173	1	3.0842e-82	6.1685e-82	1.6156e-79	True
TP53BP1__P1__primarysecondary__FWD__65	TP53BP1__P1	4247.2	18982/20251	4247.2	19617	2.2072	8.0511e+05	6.9361e+05	18.454	1	2.4026e-76	4.8051e-76	1.2254e-73	True
