sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
MYSM1__P1P2__primary__FWD__64	MYSM1__P1P2	2011.5	19.372/29.358	2011.5	24.365	-6.31	49.867	3.2449e+10	3.702	0.00010696	0.99989	0.00021392	0.026974	False
MYSM1_+_59165688.23-P1P2	MYSM1__P1P2	2033.6	17.047/36.698	2033.6	26.872	-6.1897	193.08	3.2806e+10	3.6785	0.00011732	0.99988	0.00023464	0.026974	False
RPL9_+_39460504.23-P1P2	RPL9__P1P2	430.36	5.4241/21.203	430.36	13.314	-4.9134	124.49	6.9426e+09	3.6583	0.00012697	0.99987	0.00025393	0.026974	False
ZAR1L_-_32889550.23-P1P2	ZAR1L__P1P2	1548	34.094/22.019	1548	28.056	-5.7364	72.908	2.4973e+10	3.6321	0.00014055	0.99986	0.0002811	0.026974	False
ORC5_+_103848420.23-P1P2	ORC5__P1P2	2750.8	77.487/12.233	2750.8	44.86	-5.907	2129	4.4376e+10	3.5856	0.00016814	0.99983	0.00033629	0.026974	False
CEP63_-_134205066.23-P1P2	CEP63__P1P2	1754.5	11.623/60.348	1754.5	35.985	-5.5688	1187	2.8304e+10	3.5839	0.00016925	0.99983	0.00033849	0.026974	False
MLLT1_+_6279878.23-P1P2	MLLT1__P1P2	96.16	0/17.126	96.16	8.5628	-3.3449	146.64	1.5513e+09	3.578	0.00017313	0.99983	0.00034626	0.026974	False
METTL15__P2__primarysecondary__RVS__59	METTL15__P2	1570.1	37.969/34.251	1570.1	36.11	-5.4038	6.9085	2.5329e+10	3.5684	0.00017961	0.99982	0.00035922	0.026974	False
BMS1_-_43278283.23-P1P2	BMS1__P1P2	762.98	20.147/35.882	762.98	28.014	-4.7187	123.81	1.2308e+10	3.5396	0.00020037	0.9998	0.00040074	0.026974	False
ANAPC13__P1P2__primary__RVS__49	ANAPC13__P1P2	2858	89.885/25.281	2858	57.583	-5.6089	2086.8	4.6106e+10	3.525	0.0002117	0.99979	0.00042341	0.026974	False
ZAR1L_-_32889503.23-P1P2	ZAR1L__P1P2	2150.2	81.361/21.203	2150.2	51.282	-5.3627	1809.5	3.4687e+10	3.5177	0.00021768	0.99978	0.00043535	0.026974	False
SAE1__P1P2__secondary__FWD__28	SAE1__P1P2	2342.5	58.115/57.901	2342.5	58.008	-5.3116	0.022879	3.779e+10	3.4964	0.00023581	0.99976	0.00047161	0.026974	False
