id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
AATF__P1P2	8	3.4722e-13	4.9462e-06	3e-05	1	8	-4.1906	1.0	1.0	1.0	971	0	0
RPS14__P1P2	8	1.1395e-12	4.9462e-06	3e-05	2	8	-3.2521	1.0	1.0	1.0	970	0	0
RPL34__P1P2	8	2.3227e-12	4.9462e-06	3e-05	3	8	-3.6472	1.0	1.0	1.0	969	0	0
ANAPC13__P1P2	8	7.5899e-11	4.9462e-06	3e-05	4	8	-3.6446	1.0	1.0	1.0	968	0	0
MYSM1__P1P2	8	3.5956e-10	4.9462e-06	3e-05	5	8	-2.095	1.0	1.0	1.0	967	0	0
DDX10__P1P2	8	4.4213e-10	4.9462e-06	3e-05	6	7	-3.7345	0.94714	0.96619	1.0	734	0	0
PIGY__P1P2	8	2.5894e-09	4.9462e-06	3e-05	7	8	-2.0545	1.0	1.0	1.0	966	0	0
CEP63__P1P2	8	3.2851e-09	4.9462e-06	3e-05	8	7	-3.4621	0.94175	0.96078	1.0	726	0	0
RPL9__P1P2	8	5.7198e-09	4.9462e-06	3e-05	9	7	-2.6483	0.37803	0.11405	0.510923	210	0	0
RPS13__P1P2	8	7.6966e-09	4.9462e-06	3e-05	10	7	-2.7923	0.94371	0.9626	1.0	728	0	0
CDK2__P1P2	8	8.35e-09	4.9462e-06	3e-05	11	8	-1.4291	1.0	1.0	1.0	965	0	0
NDUFS8__P1P2	8	1.4086e-08	4.9462e-06	3e-05	12	8	-2.0951	1.0	1.0	1.0	964	0	0
TMEM68__P1P2	8	1.6681e-08	4.9462e-06	3e-05	13	7	-2.8811	0.9319	0.94837	1.0	712	0	0
MINOS1-NBL1__P1P2	8	1.9064e-08	4.9462e-06	3e-05	14	8	-1.2956	1.0	1.0	1.0	963	0	0
MAD2L1BP__P1P2	8	2.184e-08	4.9462e-06	3e-05	15	8	-3.2084	1.0	1.0	1.0	962	0	0
DROSHA__31531421	8	2.4055e-08	4.9462e-06	3e-05	16	7	-3.2004	0.9044	0.91476	1.0	674	0	0
BUB1__P1P2	8	6.0846e-08	4.9462e-06	3e-05	17	8	-1.8119	1.0	1.0	1.0	961	0	0
IPO7__P1P2	8	6.7283e-08	4.9462e-06	3e-05	18	8	-3.1112	1.0	1.0	1.0	953	0	0
NKRF__P1P2	8	6.7562e-08	4.9462e-06	3e-05	19	8	-1.0324	1.0	1.0	1.0	960	0	0
WDR89__P1P2	8	7.5001e-08	4.9462e-06	3e-05	20	7	-2.4962	0.98248	0.99453	1.0	814	0	0
RNF8__P1P2	8	8.5632e-08	4.9462e-06	3e-05	21	8	-1.5861	1.0	1.0	1.0	959	0	0
PPM1G__P1	8	1.0136e-07	4.9462e-06	3e-05	22	8	-1.1679	1.0	1.0	1.0	958	0	0
FNBP4__P1P2	8	1.1895e-07	4.9462e-06	3e-05	23	8	-2.288	1.0	1.0	1.0	942	0	0
MLF1IP__P1P2	8	1.1956e-07	4.9462e-06	3e-05	24	8	-1.3576	1.0	1.0	1.0	957	0	0
RPL36A__P1P2	8	1.223e-07	4.9462e-06	3e-05	25	8	-2.5698	0.99929	0.99999	1.0	910	0	0
BTAF1__P1P2	8	1.3287e-07	4.9462e-06	3e-05	26	7	-1.8943	0.63513	0.46954	1.0	422	0	0
PDS5B__P1P2	8	1.4737e-07	4.9462e-06	3e-05	27	8	-0.989	1.0	1.0	1.0	956	0	0
CENPF__P1P2	8	2.1031e-07	4.9462e-06	3e-05	28	8	-2.472	0.99992	1.0	1.0	926	0	0
NRF1__P1P2	8	2.8134e-07	4.9462e-06	3e-05	29	8	-2.6606	0.99724	0.99991	1.0	884	0	0
PALB2__P1P2	8	3.211e-07	4.9462e-06	3e-05	30	7	-2.4306	0.95748	0.97761	1.0	752	0	0
UBE2S__P1P2	8	4.014e-07	4.9462e-06	3e-05	31	8	-1.0924	1.0	1.0	1.0	955	0	0
MDM2__P1P2	8	4.0145e-07	4.9462e-06	3e-05	32	7	-2.3479	0.96939	0.9864	1.0	777	0	0
SMN2__69345238	8	4.3176e-07	4.9462e-06	3e-05	33	7	-2.7746	0.98431	0.99569	1.0	820	0	0
PDSS1__P1P2	11	5.3524e-07	4.9462e-06	3e-05	34	11	-1.2011	1.0	1.0	1.0	950	0	0
HUS1__P1P2	8	5.6791e-07	4.9462e-06	3e-05	35	7	-2.816	0.98109	0.99392	1.0	807	0	0
ORC5__P1P2	8	9.1421e-07	4.9462e-06	3e-05	36	8	-2.9118	0.99741	0.99992	1.0	887	0	0
SPTLC2__P1P2	8	1.0008e-06	4.9462e-06	3e-05	37	8	-0.74042	1.0	1.0	1.0	954	0	0
LIAS__P1P2	8	1.0617e-06	4.9462e-06	3e-05	38	8	-2.1451	0.99975	1.0	1.0	921	0	0
CYLD__P1P2	8	1.0714e-06	4.9462e-06	3e-05	39	8	-1.2105	0.99999	1.0	1.0	939	0	0
FECH__P1P2	8	1.095e-06	4.9462e-06	3e-05	40	7	-2.3189	0.9872	0.99721	1.0	830	0	0
DCP2__P1P2	8	1.3419e-06	4.9462e-06	3e-05	41	8	-1.9667	1.0	1.0	1.0	944	0	0
METTL15__P2	8	1.4197e-06	4.9462e-06	3e-05	42	8	-1.3354	1.0	1.0	1.0	952	0	0
NABP2__P1	8	1.5073e-06	4.9462e-06	3e-05	43	7	-1.1261	0.85024	0.8391	1.0	619	0	0
PARL__P1P2	8	1.5171e-06	4.9462e-06	3e-05	44	8	-0.90218	1.0	1.0	1.0	951	0	0
TLN1__P1P2	8	1.7073e-06	4.9462e-06	3e-05	45	8	-0.65877	1.0	1.0	1.0	949	0	0
FDX1__P1P2	8	1.8454e-06	4.9462e-06	3e-05	46	8	-1.0057	1.0	1.0	1.0	948	0	0
LUZP1__P1P2	8	1.9678e-06	4.9462e-06	3e-05	47	8	-0.69993	1.0	1.0	1.0	947	0	0
MIEF1__P1P2	8	2.3297e-06	4.9462e-06	3e-05	48	8	-1.7849	1.0	1.0	1.0	946	0	0
TRIP13__P1P2	8	2.3346e-06	4.9462e-06	3e-05	49	5	-2.0565	0.74942	0.66019	1.0	523	0	0
DICER1__P1P2	8	2.3591e-06	4.9462e-06	3e-05	50	8	-1.864	1.0	1.0	1.0	945	0	0
INO80C__P1P2	8	2.7146e-06	4.9462e-06	3e-05	51	8	-0.92849	0.99999	1.0	1.0	936	0	0
BMS1__P1P2	8	2.9143e-06	4.9462e-06	3e-05	52	7	-2.0806	0.41774	0.13724	0.53147	247	0	0
NDUFAF6__P1P2	8	3.4192e-06	4.9462e-06	3e-05	53	8	-1.5247	0.9987	0.99996	1.0	902	0	0
U2SURP__P1P2	8	3.6644e-06	4.9462e-06	3e-05	54	7	-2.319	0.98243	0.99452	1.0	813	0	0
AGPS__P1P2	8	3.6851e-06	4.9462e-06	3e-05	55	8	-0.57356	1.0	1.0	1.0	943	0	0
ZAR1L__P1P2	8	4.5496e-06	4.9462e-06	3e-05	56	7	-2.6337	0.74645	0.65326	1.0	521	0	0
KIAA0020__P1	8	4.7154e-06	4.9462e-06	3e-05	57	7	-2.5665	0.59394	0.41297	1.0	380	0	0
KIF18B__P1P2	8	4.8158e-06	4.9462e-06	3e-05	58	8	-0.61202	1.0	1.0	1.0	941	0	0
CCNE1__P1P2	8	5.0407e-06	4.9462e-06	3e-05	59	8	-0.66183	0.99999	1.0	1.0	940	0	0
UBE2C__P1P2	8	5.3067e-06	4.9462e-06	3e-05	60	8	-2.0868	0.99803	0.99995	1.0	894	0	0
NPLOC4__P1P2	8	5.5927e-06	4.9462e-06	3e-05	61	7	-1.8469	0.64659	0.4837	1.0	433	0	0
DUSP12__P1P2	8	5.6028e-06	4.9462e-06	3e-05	62	7	-1.9994	0.9824	0.99452	1.0	812	0	0
H2AFZ__P1P2	8	5.8226e-06	4.9462e-06	3e-05	63	8	-1.6567	0.99878	0.99997	1.0	903	0	0
CMC1__P1P2	8	5.8634e-06	4.9462e-06	3e-05	64	7	-0.86971	0.98538	0.99627	1.0	826	0	0
RNF168__P1P2	8	6.6749e-06	4.9462e-06	3e-05	65	8	-1.1314	0.99862	0.99996	1.0	901	0	0
ZFC3H1__P1P2	8	7.2428e-06	4.9462e-06	3e-05	66	7	-1.3303	0.79582	0.73425	1.0	578	0	0
PRKDC__P1P2	8	7.6798e-06	4.9462e-06	3e-05	67	8	-1.2117	0.99999	1.0	1.0	938	0	0
EAF1__P1P2	8	7.9702e-06	4.9462e-06	3e-05	68	7	-1.068	0.99518	0.99959	1.0	869	0	0
BRAP__P1P2	8	8.1402e-06	4.9462e-06	3e-05	69	6	-1.6689	0.87743	0.87686	1.0	645	0	0
EMC1__P1P2	8	8.2586e-06	4.9462e-06	3e-05	70	6	-2.4064	0.32785	0.05832	0.320268	175	0	0
RAD9A__P1P2	8	8.2663e-06	4.9462e-06	3e-05	71	6	-2.3731	0.41361	0.13723	0.53147	244	0	0
TGFBR2__P1P2	8	8.3358e-06	4.9462e-06	3e-05	72	8	-1.3702	0.99883	0.99998	1.0	904	0	0
SEC62__P1P2	8	8.6404e-06	4.9462e-06	3e-05	73	8	-0.53925	0.99999	1.0	1.0	937	0	0
