id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PIGY__P1P2	8	8.8548e-12	4.9462e-06	1.8e-05	1	8	-4.6297	1.0	1.0	1.0	971	0	0
NKRF__P1P2	8	1.1001e-10	4.9462e-06	1.8e-05	2	8	-5.231	1.0	1.0	1.0	970	0	0
BTAF1__P1P2	8	1.654e-10	4.9462e-06	1.8e-05	3	7	-4.3812	0.672	0.36502	0.9322	380	0	0
MYSM1__P1P2	8	2.1447e-10	4.9462e-06	1.8e-05	4	8	-3.9553	1.0	1.0	1.0	969	0	0
ANAPC13__P1P2	8	3.8256e-10	4.9462e-06	1.8e-05	5	8	-4.8508	1.0	1.0	1.0	967	0	0
MINOS1-NBL1__P1P2	8	5.6389e-10	4.9462e-06	1.8e-05	6	8	-3.0038	1.0	1.0	1.0	968	0	0
TMEM68__P1P2	8	1.9366e-09	4.9462e-06	1.8e-05	7	7	-4.7008	0.99822	0.99998	1.0	864	0	0
HUS1__P1P2	8	3.8371e-09	4.9462e-06	1.8e-05	8	7	-4.4998	0.99953	1.0	1.0	892	0	0
PRKDC__P1P2	8	4.008e-09	4.9462e-06	1.8e-05	9	7	-3.9527	0.99967	1.0	1.0	901	0	0
MBIP__P1P2	8	5.1869e-09	4.9462e-06	1.8e-05	10	5	-5.889	0.70215	0.43598	1.0	408	0	0
NDUFS8__P1P2	8	5.6377e-09	4.9462e-06	1.8e-05	11	8	-3.7212	1.0	1.0	1.0	958	0	0
PPM1G__P1	8	6.7419e-09	4.9462e-06	1.8e-05	12	8	-3.2258	1.0	1.0	1.0	966	0	0
MLF1IP__P1P2	8	9.3896e-09	4.9462e-06	1.8e-05	13	8	-2.7198	1.0	1.0	1.0	965	0	0
PAN2__P1P2	8	1.1437e-08	4.9462e-06	1.8e-05	14	8	-2.8226	1.0	1.0	1.0	964	0	0
FNBP4__P1P2	8	1.7759e-08	4.9462e-06	1.8e-05	15	8	-4.004	1.0	1.0	1.0	953	0	0
ORC5__P1P2	8	2.322e-08	4.9462e-06	1.8e-05	16	6	-5.3929	0.9755	0.9884	1.0	770	0	0
CDK2__P1P2	8	5.6574e-08	4.9462e-06	1.8e-05	17	8	-3.0128	1.0	1.0	1.0	963	0	0
CEP63__P1P2	8	5.9057e-08	4.9462e-06	1.8e-05	18	7	-5.0646	0.99916	1.0	1.0	883	0	0
BUB1__P1P2	8	1.0833e-07	4.9462e-06	1.8e-05	19	8	-3.5305	1.0	1.0	1.0	960	0	0
DROSHA__31531421	8	1.223e-07	4.9462e-06	1.8e-05	20	7	-4.6881	0.9932	0.99906	1.0	826	0	0
WDR89__P1P2	8	1.4815e-07	4.9462e-06	1.8e-05	21	7	-4.3395	0.7579	0.59095	1.0	461	0	0
SAE1__P1P2	8	3.1853e-07	4.9462e-06	1.8e-05	22	7	-3.7027	0.96246	0.97375	1.0	747	0	0
MAD2L1BP__P1P2	8	3.4651e-07	4.9462e-06	1.8e-05	23	8	-3.2789	1.0	1.0	1.0	962	0	0
SPTLC2__P1P2	8	4.5435e-07	4.9462e-06	1.8e-05	24	8	-2.2801	1.0	1.0	1.0	961	0	0
RPL34__P1P2	8	5.76e-07	4.9462e-06	1.8e-05	25	8	-2.855	1.0	1.0	1.0	959	0	0
METTL15__P2	8	7.4295e-07	4.9462e-06	1.8e-05	26	8	-2.7376	1.0	1.0	1.0	957	0	0
RNF8__P1P2	8	7.8583e-07	4.9462e-06	1.8e-05	27	8	-3.2409	1.0	1.0	1.0	955	0	0
