sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
NF2__29999349__FWD__97	NF2__29999349	4278.5	73504/69783	4278.5	71644	4.0653	6.9207e+06	5.5619e+05	90.328	1	0	0	0	True
RBM15__110881839__FWD__75	RBM15__110881839	2666.3	42986/45007	2666.3	43997	4.044	2.0432e+06	2.6395e+05	80.446	1	0	0	0	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	4670.7	67233/70105	4670.7	68669	3.8777	4.1245e+06	6.3869e+05	80.08	1	0	0	0	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	5266	67707/66932	5266	67320	3.676	3.0011e+05	7.717e+05	70.639	1	0	0	0	True
PMAIP1__57567020__FWD__0	PMAIP1__57567020	4483.1	56892/59073	4483.1	57982	3.6927	2.3802e+06	5.9871e+05	69.142	1	0	0	0	True
NF2__29999349__RVS__91	NF2__29999349	2756.2	37024/38137	2756.2	37581	3.7687	6.1953e+05	2.7811e+05	66.035	1	0	0	0	True
SUFU__104263513__RVS__57	SUFU__104263513	4500.2	51064/56804	4500.2	53934	3.5828	1.6469e+07	6.0231e+05	63.697	1	0	0	0	True
NF2__29999349__RVS__92	NF2__29999349	2444.6	30902/34954	2444.6	32928	3.7511	8.2066e+06	2.3022e+05	63.531	1	0	0	0	True
PMAIP1__57567020__RVS__48	PMAIP1__57567020	3036.8	36894/39372	3036.8	38133	3.65	3.0694e+06	3.2401e+05	61.657	1	0	0	0	True
SUFU__104263513__FWD__29	SUFU__104263513	3611.9	41979/44320	3611.9	43149	3.5781	2.7397e+06	4.2586e+05	60.587	1	0	0	0	True
CREBBP__P1P2__primary__FWD__53	CREBBP__P1P2	2839.9	36082/33739	2839.9	34911	3.6193	2.7445e+06	2.9154e+05	59.397	1	0	0	0	True
SUFU__104263513__FWD__26	SUFU__104263513	3227.5	32950/34840	3227.5	33895	3.3922	1.7852e+06	3.5664e+05	51.352	1	0	0	0	True
SUFU__104263513__RVS__29	SUFU__104263513	3050.8	29524/31581	3050.8	30552	3.3236	2.1164e+06	3.2636e+05	48.141	1	0	0	0	True
PMAIP1__57567020__RVS__67	PMAIP1__57567020	3140.7	30231/30728	3140.7	30480	3.2783	1.2335e+05	3.4164e+05	46.773	1	0	0	0	True
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	3610.4	28545/29068	3610.4	28807	2.9958	1.3702e+05	4.2557e+05	38.623	1	0	0	0	True
NF2__29999349__FWD__28	NF2__29999349	2830.6	23601/23259	2830.6	23430	3.0487	58454	2.9003e+05	38.25	1	2.0741e-320	4.1482e-320	2.5125e-317	True
TP53__P1P2__primarysecondary__RVS__44	TP53__P1P2	3601.1	27778/29127	3601.1	28452	2.9817	9.0961e+05	4.2385e+05	38.172	1	4.0923e-319	8.1846e-319	4.6657e-316	True
BAK1__33547269__FWD__65	BAK1__33547269	3985.5	28213/29046	3985.5	28630	2.8444	3.4655e+05	4.9734e+05	34.945	1	7.6982e-268	1.5396e-267	8.2892e-265	True
SUPT20H_+_37633798.23-P1P2	SUPT20H__P1P2	2993.4	22395/22708	2993.4	22552	2.913	49039	3.1674e+05	34.752	1	6.5203e-265	1.3041e-264	6.6514e-262	True
BAK1__33547269__RVS__50	BAK1__33547269	3012	22328/22275	3012	22301	2.8879	1397.7	3.1985e+05	34.107	1	2.9132e-255	5.8264e-255	2.8232e-252	True
TP53_+_7590763.23-P1P2	TP53__P1P2	4171.5	27474/29915	4171.5	28695	2.7818	2.9806e+06	5.3443e+05	33.545	1	5.3126e-247	1.0625e-246	4.9033e-244	True
TP53_+_7590780.23-P1P2	TP53__P1P2	5479.9	34690/35444	5479.9	35067	2.6777	2.8409e+05	8.2173e+05	32.639	1	5.7899e-234	1.158e-233	5.1009e-231	True
BAK1__33547269__FWD__14	BAK1__33547269	3701.8	24133/26590	3701.8	25361	2.776	3.0189e+06	4.4269e+05	32.553	1	9.3756e-233	1.8751e-232	7.9008e-230	True
BAK1__33547269__RVS__73	BAK1__33547269	3132.9	22109/22123	3132.9	22116	2.8191	87.396	3.4032e+05	32.54	1	1.4292e-232	2.8585e-232	1.1542e-229	True
BAK1__33547269__RVS__14	BAK1__33547269	3162.4	21376/22906	3162.4	22141	2.8072	1.1707e+06	3.4537e+05	32.293	1	4.3158e-229	8.6317e-229	3.346e-226	True
BAK1__33547269__FWD__55	BAK1__33547269	3049.2	20976/21108	3049.2	21042	2.7863	8696.7	3.261e+05	31.508	1	3.3832e-218	6.7665e-218	2.5221e-215	True
TP53_+_7590774.23-P1P2	TP53__P1P2	3630.5	22999/24173	3630.5	23586	2.6993	6.889e+05	4.2932e+05	30.456	1	5.0031e-204	1.0006e-203	3.5915e-201	True
BAK1__33547269__RVS__36	BAK1__33547269	3452.3	21515/22799	3452.3	22157	2.6818	8.2425e+05	3.9657e+05	29.702	1	3.6012e-194	7.2024e-194	2.4928e-191	True
BAK1__33547269__FWD__38	BAK1__33547269	3342.2	21592/21329	3342.2	21460	2.6824	34588	3.7682e+05	29.515	1	9.2356e-192	1.8471e-191	6.1726e-189	True
TP53__P1P2__primarysecondary__FWD__34	TP53__P1P2	5052	27998/30395	5052	29196	2.5306	2.8727e+06	7.2284e+05	28.398	1	1.0588e-177	2.1175e-177	6.8404e-175	True
TP53__P1P2__primarysecondary__FWD__60	TP53__P1P2	3793.3	23879/21908	3793.3	22893	2.5931	1.9427e+06	4.6005e+05	28.159	1	9.1731e-175	1.8346e-174	5.7353e-172	True
NF2__29999349__RVS__25	NF2__29999349	2192	13637/14606	2192	14121	2.687	4.6917e+05	1.9388e+05	27.093	1	6.0185e-162	1.2037e-161	3.6454e-159	True
ZNF787__P1P2__primary__RVS__59	ZNF787__P1P2	2336.1	13838/14202	2336.1	14020	2.5847	66331	2.1434e+05	25.236	1	7.981e-141	1.5962e-140	4.6875e-138	True
SGK223__P1P2__secondary__FWD__72	SGK223__P1P2	2666.3	15086/16078	2666.3	15582	2.5465	4.9172e+05	2.6395e+05	25.14	1	9.1037e-140	1.8207e-139	5.1897e-137	True
