id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NDUFS8__P1P2	8	7.1316e-12	4.9462e-06	4.6e-05	1	8	-2.7527	1.0	1.0	1.0	964	0	0
PARL__P1P2	8	1.6031e-11	4.9462e-06	4.6e-05	2	8	-2.6362	1.0	1.0	1.0	971	0	0
RPL34__P1P2	8	2.6912e-11	4.9462e-06	4.6e-05	3	8	-2.6376	1.0	1.0	1.0	970	0	0
PIGY__P1P2	8	6.2141e-11	4.9462e-06	4.6e-05	4	8	-2.8619	1.0	1.0	1.0	969	0	0
DDX10__P1P2	8	7.9219e-11	4.9462e-06	4.6e-05	5	7	-3.0271	0.97148	0.97617	1.0	753	0	0
AATF__P1P2	8	8.3101e-11	4.9462e-06	4.6e-05	6	8	-2.6801	1.0	1.0	1.0	968	0	0
MIEF1__P1P2	8	2.4162e-10	4.9462e-06	4.6e-05	7	8	-2.6512	1.0	1.0	1.0	967	0	0
RPS14__P1P2	8	5.3776e-10	4.9462e-06	4.6e-05	8	8	-2.5564	1.0	1.0	1.0	966	0	0
MINOS1-NBL1__P1P2	8	1.3357e-09	4.9462e-06	4.6e-05	9	8	-1.7486	1.0	1.0	1.0	965	0	0
PMVK__P1P2	8	4.9032e-09	4.9462e-06	4.6e-05	10	8	-1.6233	1.0	1.0	1.0	963	0	0
SPTLC2__P1P2	8	7.3492e-09	4.9462e-06	4.6e-05	11	8	-1.9251	1.0	1.0	1.0	962	0	0
NDUFAF6__P1P2	8	1.4694e-08	4.9462e-06	4.6e-05	12	7	-2.4454	1.0	1.0	1.0	946	0	0
CCDC130__P1	8	1.7064e-08	4.9462e-06	4.6e-05	13	7	-2.4413	1.0	1.0	1.0	947	0	0
UQCRC2__P1P2	11	3.1246e-08	4.9462e-06	4.6e-05	14	9	-2.1559	0.95458	0.91354	1.0	717	0	0
DBF4__P1P2	8	5.4721e-08	4.9462e-06	4.6e-05	15	7	-2.0366	0.99998	1.0	1.0	933	0	0
PDS5B__P1P2	8	1.2575e-07	4.9462e-06	4.6e-05	16	7	-1.6892	1.0	1.0	1.0	961	0	0
RPL9__P1P2	8	2.1222e-07	4.9462e-06	4.6e-05	17	7	-2.2547	0.99962	1.0	1.0	902	0	0
SMN2__69345238	8	2.2761e-07	4.9462e-06	4.6e-05	18	5	-2.7947	0.97955	0.98569	1.0	775	0	0
TIMM17B__P1P2	8	2.8433e-07	4.9462e-06	4.6e-05	19	7	-1.8442	0.99464	0.99852	1.0	847	0	0
BUB1__P1P2	8	2.9138e-07	4.9462e-06	4.6e-05	20	7	-1.9176	1.0	1.0	1.0	952	0	0
RPS13__P1P2	8	3.6761e-07	4.9462e-06	4.6e-05	21	7	-2.2161	0.99526	0.99872	1.0	852	0	0
PRKDC__P1P2	8	5.1553e-07	4.9462e-06	4.6e-05	22	7	-1.8257	0.99999	1.0	1.0	937	0	0
NRF1__P1P2	8	5.5916e-07	4.9462e-06	4.6e-05	23	5	-2.8301	0.63376	0.26012	0.683355	367	0	0
WEE1__P1P2	8	6.704e-07	4.9462e-06	4.6e-05	24	5	-2.3837	0.39738	0.038546	0.169574	215	0	0
COG6__P1P2	8	7.4765e-07	4.9462e-06	4.6e-05	25	6	-2.1237	0.95589	0.95024	1.0	719	0	0
NXT1__P1P2	8	7.803e-07	4.9462e-06	4.6e-05	26	7	-1.6706	0.99999	1.0	1.0	934	0	0
DCP2__P1P2	8	8.8492e-07	4.9462e-06	4.6e-05	27	7	-2.1632	1.0	1.0	1.0	960	0	0
CSDE1__P1P2	8	8.9107e-07	4.9462e-06	4.6e-05	28	7	-1.7907	1.0	1.0	1.0	941	0	0
NUTF2__P1P2	8	1.0389e-06	4.9462e-06	4.6e-05	29	6	-2.4798	0.99851	0.99985	1.0	878	0	0
SMARCC1__P1P2	8	1.6433e-06	4.9462e-06	4.6e-05	30	6	-2.1276	0.98632	0.99205	1.0	802	0	0
LIMS1__P1P2	8	3.3416e-06	4.9462e-06	4.6e-05	31	6	-2.0295	1.0	1.0	1.0	958	0	0
IPO7__P1P2	8	6.1422e-06	4.9462e-06	4.6e-05	32	6	-2.0349	0.83958	0.72309	1.0	567	0	0
TMEM68__P1P2	8	6.3792e-06	4.9462e-06	4.6e-05	33	6	-2.1059	0.99868	0.99989	1.0	880	0	0
SLC25A33__P1P2	8	8.5609e-06	4.9462e-06	4.6e-05	34	6	-1.8488	1.0	1.0	1.0	959	0	0
RPL36A__P1P2	8	1.1636e-05	4.9462e-06	4.6e-05	35	6	-1.8213	0.99998	1.0	1.0	932	0	0
MRRF__P1P2	8	1.4975e-05	4.9462e-06	4.6e-05	36	6	-1.8802	0.99987	1.0	1.0	917	0	0
MON2__P1P2	8	1.9305e-05	4.9462e-06	4.6e-05	37	6	-1.5722	0.99403	0.99824	1.0	842	0	0
FECH__P1P2	8	2.0408e-05	4.9462e-06	4.6e-05	38	6	-1.8736	0.98001	0.98623	1.0	778	0	0
PCGF1__P1P2	8	2.1432e-05	4.9462e-06	4.6e-05	39	6	-1.7686	1.0	1.0	1.0	953	0	0
