sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	1552.9	7980.3/8329.9	1552.9	8155.1	2.392	61075	3.754e+05	10.776	1	2.2556e-27	4.5112e-27	4.3718e-23	True
BAK1__33547269__RVS__50	BAK1__33547269	1962.8	7768.7/9472.3	1962.8	8620.5	2.1343	1.4512e+06	4.7451e+05	9.6649	1	2.1293e-22	4.2587e-22	2.0635e-18	True
BAK1__33547269__RVS__36	BAK1__33547269	1880.8	8326.2/8056.9	1880.8	8191.6	2.1222	36260	4.5469e+05	9.3589	1	4.039e-21	8.0779e-21	2.6094e-17	True
BAK1__33547269__RVS__14	BAK1__33547269	2023.1	7908.5/9078.3	2023.1	8493.4	2.0693	6.8424e+05	4.8907e+05	9.252	1	1.1034e-20	2.2067e-20	5.3463e-17	True
BAK1__33547269__FWD__38	BAK1__33547269	2227.2	7612.9/10075	2227.2	8843.9	1.989	3.0308e+06	5.3843e+05	9.0173	1	9.6475e-20	1.9295e-19	3.7397e-16	True
BAK1__33547269__FWD__14	BAK1__33547269	1989.6	7254.2/8713.4	1989.6	7983.8	2.0041	1.0646e+06	4.8098e+05	8.6431	1	2.7421e-18	5.4842e-18	8.8578e-15	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	3010.3	9260.1/11432	3010.3	10346	1.7807	2.3585e+06	7.2775e+05	8.5991	1	4.0191e-18	8.0381e-18	1.1128e-14	True
BAK1__33547269__FWD__55	BAK1__33547269	1977.9	7713.5/8032.3	1977.9	7872.9	1.9924	50797	4.7815e+05	8.5252	1	7.6455e-18	1.5291e-17	1.8523e-14	True
SUPT20H_-_37633730.23-P1P2	SUPT20H__P1P2	1358.7	5871.4/6261.8	1358.7	6066.6	2.1578	76187	3.2848e+05	8.2143	1	1.0765e-16	2.1529e-16	2.3182e-13	True
PMAIP1__57567020__FWD__0	PMAIP1__57567020	2145.2	7573.7/8495.8	2145.2	8034.8	1.9046	4.2513e+05	5.186e+05	8.1784	1	1.4408e-16	2.8816e-16	2.7926e-13	True
SUPT20H__P1P2__secondary__RVS__54	SUPT20H__P1P2	1246.6	5848.3/5564.2	1246.6	5706.2	2.1936	40346	3.0137e+05	8.1235	1	2.2911e-16	4.5822e-16	4.0369e-13	True
BAK1__33547269__FWD__65	BAK1__33547269	2570.2	8974.1/8512.3	2570.2	8743.2	1.7659	1.0664e+05	6.2135e+05	7.8311	1	2.4193e-15	4.8386e-15	3.9075e-12	True
SUPT20H_+_37633798.23-P1P2	SUPT20H__P1P2	1542.8	5556.7/6708.1	1542.8	6132.4	1.9902	6.6292e+05	3.7297e+05	7.5151	1	2.8596e-14	5.7192e-14	4.2634e-11	True
BAK1__33547269__RVS__73	BAK1__33547269	1919.3	6770.9/6984.8	1919.3	6877.8	1.8408	22870	4.6399e+05	7.2794	1	1.6802e-13	3.3603e-13	2.3261e-10	True
SUPT20H_+_37633763.23-P1P2	SUPT20H__P1P2	1547.8	5989.7/5933.6	1547.8	5961.6	1.9448	1573.9	3.7419e+05	7.2155	1	2.7027e-13	5.4055e-13	3.4923e-10	True
SUFU__104263513__RVS__57	SUFU__104263513	1922.7	6632.7/6901	1922.7	6766.9	1.8149	35999	4.648e+05	7.1054	1	6.0122e-13	1.2024e-12	7.2831e-10	True
FUT7_+_139926157.23-P1P2	FUT7__P1P2	1539.5	5939.3/5401.2	1539.5	5670.3	1.8803	1.4479e+05	3.7217e+05	6.7712	1	6.4228e-12	1.2846e-11	7.3227e-09	True
SUPT20H__P1P2__secondary__RVS__74	SUPT20H__P1P2	1474.2	5773.2/5239	1474.2	5506.1	1.9004	1.4269e+05	3.5639e+05	6.7537	1	7.2539e-12	1.4508e-11	7.8108e-09	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	2237.2	6199.7/7668.2	2237.2	6934	1.6315	1.0781e+06	5.4085e+05	6.3864	1	8.5037e-11	1.7007e-10	8.6747e-08	True
MED23_+_131949290.23-P1P2	MED23__P1P2	1534.4	4527.8/5967.9	1534.4	5247.9	1.7734	1.037e+06	3.7095e+05	6.097	1	5.4362e-10	1.0872e-09	5.2682e-07	True
