sgID	gene_TSS	3649_Day0	h1esc_Day0	Pt5c_Day0	3624K_Day0	3649_Day10_rep1	3649_Day10_rep2	h1esc_Day10_rep1	h1esc_Day10_rep2	Pt5c_Day10_rep1	Pt5c_Day10_rep2	3624K_Day10_rep1	3624K_Day10_rep2	20961B_RS__Day0	21792A_Day0	23555A_Day0	28128B_Day0	40280L_Day0	40290F_Day0	8861G_Day0	20961B_RS__Day10_rep1	20961B_RS__Day10_rep2	21792A_Day10_rep1	21792A_Day10_rep2	23555A_Day10_rep1	23555A_Day10_rep2	28128B_Day10_rep1	28128B_Day10_rep2	40280L_Day10_rep1	40280L_Day10_rep2	40290F_Day10_rep1	40290F_Day10_rep2	8861G_Day10_rep1	8861G_Day10_rep2	H23555_TF__D0_counts	H23555_TF__D10_rep1_counts	H23555_TF__D10_rep2_counts	C3624_TF__D0_counts	C3624_TF__D10_rep1_counts	C3624_TF__D10_rep2_counts	C8861_TF__D0_counts	C8861_TF__D10_rep1_counts	C8861_TF__D10_rep2_counts	H20961_TF__D0_counts	H20961_TF__D10_rep1_counts	H20961_TF__D10_rep2_counts	H28126CJ_TF__D0_counts	H28126CJ_TF__D10_rep1_counts	H28126CJ_TF__D10_rep2_counts
AATF_-_35306340.23-P1P2	AATF__P1P2	603	202	335	696	194	158	136	247	99	64	51	190	983	463	838	1664	1437	1670	176	165	105	53	22	107	284	2930	3631	1361	1236	1248	1254	6	38	592	297	477	2035	170	159	508	174	169	1074	188	303	3192	576	1364
AATF_-_35306346.23-P1P2	AATF__P1P2	493	192	238	627	101	93	112	125	25	32	28	55	759	471	573	1522	258	892	99	135	53	26	9	58	95	2188	1924	20	16	97	51	30	1	461	134	196	1659	130	192	294	49	65	592	156	86	1070	249	125
AATF_-_35306333.23-P1P2	AATF__P1P2	550	206	263	637	242	176	126	184	83	74	34	37	696	255	647	587	1405	1122	107	102	319	6	3	124	74	150	253	1715	1492	2080	1133	3	4	542	247	256	1690	109	155	263	125	164	667	80	129	403	104	27
AATF_-_35306312.23-P1P2	AATF__P1P2	643	1312	288	624	101	151	1637	2036	16	49	23	23	1578	270	732	1707	247	763	112	2048	3366	174	37	70	155	4254	3172	24	4	21	14	1	42	443	240	103	2169	138	233	303	111	183	3641	3479	3350	3165	1413	2052
AATF__P1P2__secondary__FWD__35	AATF__P1P2	608	273	271	814	267	247	142	133	283	259	50	79	1542	1650	1595	1065	387	1138	185	290	581	174	144	88	236	799	929	148	123	363	323	27	94	1276	475	347	2311	201	426	957	168	229	2035	377	203	1499	169	140
AATF__P1P2__secondary__FWD__50	AATF__P1P2	626	281	321	826	234	182	243	195	183	314	20	33	1481	1604	1430	1264	490	1257	276	288	494	223	285	254	56	1059	750	44	69	405	211	49	56	1280	337	301	2895	369	375	991	272	159	2343	480	285	1269	170	207
AATF__P1P2__secondary__FWD__53	AATF__P1P2	597	358	353	837	238	260	273	252	450	397	103	82	1553	1815	1348	1137	587	1296	435	269	872	226	219	97	138	658	1010	93	88	677	562	160	214	1219	560	311	1902	252	507	1651	282	180	1871	605	416	1085	32	96
AATF__P1P2__secondary__FWD__55	AATF__P1P2	715	438	325	978	400	516	234	305	463	332	106	145	1622	1932	1819	1483	607	1422	462	408	805	305	275	123	103	1071	1429	203	105	905	677	212	81	1768	289	399	3718	357	670	1535	719	448	2907	758	589	1953	218	84
ABCB10__P1P2__primary__RVS__7	ABCB10__P1P2	694	1123	296	1032	1800	1503	978	1350	1932	1461	1497	1405	1578	3098	2067	1524	1305	1370	1137	1776	2625	2103	2356	2397	2621	3346	2940	2598	1985	1999	1908	2031	1524	3789	3857	4661	2899	3607	3991	3169	2201	1984	3402	3787	3343	3202	2412	2336
ABCB10_+_229694285.23-P1P2	ABCB10__P1P2	734	196	266	927	84	129	168	172	32	31	65	33	1293	1710	1648	919	989	1557	852	45	50	165	164	54	45	102	94	116	83	167	234	7	3	1242	261	422	3367	302	294	2281	129	159	1622	184	156	1221	41	114
