id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SMN1__ENST00000380707.4	5	5.9098e-15	2.4115e-07	4e-06	1	5	-5.9782	1.0	1.0	1.0	20528	0	0
SMN2__ENST00000380743.4	5	5.9098e-15	2.4115e-07	4e-06	2	5	-5.9782	1.0	1.0	1.0	20527	0	0
DKC1__P1P2	5	5.4671e-14	2.4115e-07	4e-06	3	5	-5.6268	1.0	1.0	1.0	20526	0	0
NOP10__P1P2	5	1.0582e-11	2.4115e-07	4e-06	4	5	-3.9538	1.0	1.0	1.0	20308	0	0
NUTM1__P1P2	5	1.0582e-11	2.4115e-07	4e-06	5	5	-3.9538	1.0	1.0	1.0	20307	0	0
GEMIN2__P1P2	5	3.9082e-11	2.4115e-07	4e-06	6	5	-6.9337	1.0	1.0	1.0	20525	0	0
LSM6__P1P2	5	9.6735e-11	2.4115e-07	4e-06	7	5	-7.0046	1.0	1.0	1.0	20524	0	0
SRP19__P1P2	5	1.5738e-10	2.4115e-07	4e-06	8	4	-6.2826	0.50922	0.35675	0.804806	9099	1	0.27622
DBR1__P1P2	5	3.4702e-10	2.4115e-07	4e-06	9	5	-3.9435	1.0	1.0	1.0	20523	0	0
ZNHIT6__P1P2	5	4.3512e-10	2.4115e-07	4e-06	10	5	-7.5106	1.0	1.0	1.0	20522	0	0
MED18__P1P2	5	8.5093e-10	2.4115e-07	4e-06	11	5	-5.2655	1.0	1.0	1.0	20521	0	0
MED30__P1P2	5	1.3921e-09	2.4115e-07	4e-06	12	5	-5.7351	1.0	1.0	1.0	20520	0	0
MBTPS2__P1P2	5	1.5312e-09	2.4115e-07	4e-06	13	5	-5.8957	1.0	1.0	1.0	20519	0	0
GEMIN5__P1P2	5	1.6349e-09	2.4115e-07	4e-06	14	5	-6.2042	1.0	1.0	1.0	20451	0	0
RTF1__P1P2	5	3.1435e-09	2.4115e-07	4e-06	15	4	-4.3541	0.77013	0.71761	1.0	14497	0	0
FAM96B__P1P2	5	3.4664e-09	2.4115e-07	4e-06	16	5	-5.8548	1.0	1.0	1.0	20518	0	0
RRP9__P1P2	5	4.7835e-09	2.4115e-07	4e-06	17	5	-4.7784	1.0	1.0	1.0	20468	0	0
FBL__P1P2	5	5.7723e-09	2.4115e-07	4e-06	18	5	-4.7731	1.0	1.0	1.0	20356	0	0
NOP2__P1P2	5	5.9602e-09	2.4115e-07	4e-06	19	5	-5.2172	1.0	1.0	1.0	20517	0	0
C12orf45__P1P2	5	6.2819e-09	2.4115e-07	4e-06	20	5	-5.8961	1.0	1.0	1.0	20516	0	0
ALG13__P1P2	5	8.4826e-09	2.4115e-07	4e-06	21	5	-3.9157	1.0	1.0	1.0	20515	0	0
RBMX2__P1P2	5	1.0002e-08	2.4115e-07	4e-06	22	5	-4.2345	1.0	1.0	1.0	20480	0	0
RPA3__P1P2	5	1.283e-08	2.4115e-07	4e-06	23	5	-4.542	1.0	1.0	1.0	20514	0	0
ANAPC4__P1P2	5	1.3041e-08	2.4115e-07	4e-06	24	5	-4.4163	1.0	1.0	1.0	20513	0	0
NDUFA8__P1P2	5	1.3183e-08	2.4115e-07	4e-06	25	5	-6.0227	1.0	1.0	1.0	20512	0	0
ZC3H8__P1P2	5	1.3756e-08	2.4115e-07	4e-06	26	4	-6.865	0.80691	0.77087	1.0	15243	0	0
INTS2__P1P2	5	1.4111e-08	2.4115e-07	4e-06	27	5	-6.1065	1.0	1.0	1.0	20511	0	0
MRPL13__P1P2	5	1.4492e-08	2.4115e-07	4e-06	28	5	-4.7141	1.0	1.0	1.0	20510	0	0
ATR__P1P2	5	1.4881e-08	2.4115e-07	4e-06	29	5	-4.1028	1.0	1.0	1.0	20509	0	0
DMAP1__P1P2	5	1.4959e-08	2.4115e-07	4e-06	30	5	-3.6803	1.0	1.0	1.0	20508	0	0
VARS2__P1P2	5	1.8301e-08	2.4115e-07	4e-06	31	5	-5.1367	1.0	1.0	1.0	20507	0	0
POLR1E__P1P2	5	1.9151e-08	2.4115e-07	4e-06	32	5	-4.4764	1.0	1.0	1.0	20506	0	0
RPAP1__P1P2	5	2.1316e-08	2.4115e-07	4e-06	33	4	-5.6111	0.73304	0.65478	0.975752	13734	0	0
TAF1B__P1P2	5	2.1742e-08	2.4115e-07	4e-06	34	5	-2.8295	0.99998	1.0	1.0	20114	0	0
GINS1__P1P2	5	2.5861e-08	2.4115e-07	4e-06	35	5	-6.0482	1.0	1.0	1.0	20505	0	0
CCT2__P1P2	5	2.6897e-08	2.4115e-07	4e-06	36	5	-5.2832	1.0	1.0	1.0	20504	0	0
GTF2H2D__P1P2	5	2.7824e-08	2.4115e-07	4e-06	37	3	-4.6115	0.72491	0.64571	0.975752	13558	0	0
GTF2H2C__P1P2	5	2.7824e-08	2.4115e-07	4e-06	38	3	-4.6115	0.72491	0.64571	0.975752	13559	0	0
RPF2__P1P2	5	3.1144e-08	2.4115e-07	4e-06	39	5	-4.7435	1.0	1.0	1.0	20406	0	0
NMD3__P1P2	5	3.2386e-08	2.4115e-07	4e-06	40	5	-5.5818	1.0	1.0	1.0	20503	0	0
HYPK__P1P2	5	3.2642e-08	2.4115e-07	4e-06	41	5	-3.9755	1.0	1.0	1.0	20268	0	0
COPS4__P1P2	5	3.8391e-08	2.4115e-07	4e-06	42	4	-4.084	0.99868	0.99994	1.0	19598	0	0
RCL1__P1P2	5	3.8793e-08	2.4115e-07	4e-06	43	5	-5.0559	1.0	1.0	1.0	20502	0	0
DDX56__P1P2	5	4.0629e-08	2.4115e-07	4e-06	44	5	-4.2086	1.0	1.0	1.0	20484	0	0
DDX23__P1P2	5	4.3518e-08	2.4115e-07	4e-06	45	5	-4.731	1.0	1.0	1.0	20501	0	0
SRBD1__P1P2	5	4.4139e-08	2.4115e-07	4e-06	46	5	-4.1893	1.0	1.0	1.0	20500	0	0
DHX36__P1P2	5	4.5404e-08	2.4115e-07	4e-06	47	5	-4.7297	1.0	1.0	1.0	20499	0	0
NKAP__P1P2	5	4.6632e-08	2.4115e-07	4e-06	48	5	-3.8526	1.0	1.0	1.0	20498	0	0
ABCB7__P1P2	5	4.762e-08	2.4115e-07	4e-06	49	5	-6.5375	1.0	1.0	1.0	20497	0	0
AIFM1__P1P2	5	5.4053e-08	2.4115e-07	4e-06	50	5	-3.9392	1.0	1.0	1.0	20496	0	0
UPF2__P1P2	5	5.4347e-08	2.4115e-07	4e-06	51	5	-3.9156	1.0	1.0	1.0	20495	0	0
SRSF1__P1P2	5	5.8287e-08	2.4115e-07	4e-06	52	4	-4.8445	0.9784	0.9865	1.0	18822	0	0
PTCD1__P2	5	6.6851e-08	2.4115e-07	4e-06	53	5	-4.0434	0.99997	1.0	1.0	20041	0	0
COPS6__P1P2	5	7.3776e-08	2.4115e-07	4e-06	54	5	-4.0708	1.0	1.0	1.0	20494	0	0
RPS27A__P1P2	5	7.4439e-08	2.4115e-07	4e-06	55	5	-5.7785	1.0	1.0	1.0	20493	0	0
NDUFAF1__P1P2	5	7.5489e-08	2.4115e-07	4e-06	56	5	-5.2662	1.0	1.0	1.0	20492	0	0
TARS__P1P2	5	7.6648e-08	2.4115e-07	4e-06	57	5	-4.6674	1.0	1.0	1.0	20491	0	0
ATP5F1__P1P2	5	7.8712e-08	2.4115e-07	4e-06	58	5	-3.767	1.0	1.0	1.0	20490	0	0
BCAS2__P1P2	5	8.0056e-08	2.4115e-07	4e-06	59	4	-5.8139	0.99502	0.99893	1.0	19347	0	0
RPL31__P1P2	5	8.0921e-08	2.4115e-07	4e-06	60	5	-5.4433	1.0	1.0	1.0	20489	0	0
COG3__P1P2	5	8.1147e-08	2.4115e-07	4e-06	61	5	-4.1253	0.99999	1.0	1.0	20168	0	0
SLC25A36__P1P2	5	8.2455e-08	2.4115e-07	4e-06	62	5	-3.5035	1.0	1.0	1.0	20488	0	0
OPA1__P1P2	5	8.5699e-08	2.4115e-07	4e-06	63	5	-4.3816	1.0	1.0	1.0	20487	0	0
NSRP1__P1P2	5	8.8063e-08	2.4115e-07	4e-06	64	5	-5.2972	1.0	1.0	1.0	20486	0	0
PRPF6__P1P2	5	8.9392e-08	2.4115e-07	4e-06	65	4	-4.5358	0.20726	0.13087	0.592957	4506	1	0.52679
GEMIN6__P1P2	5	9.6167e-08	2.4115e-07	4e-06	66	5	-2.7603	1.0	1.0	1.0	20485	0	0
NDUFC1__P1	5	1.0068e-07	2.4115e-07	4e-06	67	5	-4.2703	1.0	1.0	1.0	20483	0	0
MCM5__P1P2	5	1.0214e-07	2.4115e-07	4e-06	68	5	-4.8078	1.0	1.0	1.0	20482	0	0
EXOC1__P1P2	5	1.1008e-07	2.4115e-07	4e-06	69	5	-4.889	1.0	1.0	1.0	20481	0	0
SQLE__P1P2	5	1.1244e-07	2.4115e-07	4e-06	70	5	-3.8326	1.0	1.0	1.0	20479	0	0
CDC16__P1P2	5	1.143e-07	2.4115e-07	4e-06	71	5	-4.2345	1.0	1.0	1.0	20478	0	0
KTI12__P1P2	5	1.1576e-07	2.4115e-07	4e-06	72	4	-5.2148	0.97147	0.97988	1.0	18646	0	0
SNRNP27__P1P2	5	1.1647e-07	2.4115e-07	4e-06	73	4	-6.1735	0.82293	0.79563	1.0	15578	0	0
ZNF574__P1	5	1.1809e-07	2.4115e-07	4e-06	74	5	-3.5962	1.0	1.0	1.0	20477	0	0
SRFBP1__P1P2	5	1.2308e-07	2.4115e-07	4e-06	75	4	-6.8906	0.99737	0.99972	1.0	19487	0	0
RPRD1B__P1P2	5	1.2455e-07	2.4115e-07	4e-06	76	5	-4.4826	1.0	1.0	1.0	20476	0	0
NDUFS5__P1	5	1.2527e-07	2.4115e-07	4e-06	77	5	-6.0682	1.0	1.0	1.0	20475	0	0
SNIP1__P1P2	5	1.2725e-07	2.4115e-07	4e-06	78	5	-4.1142	1.0	1.0	1.0	20403	0	0
HAUS7__P1	5	1.2918e-07	2.4115e-07	4e-06	79	5	-3.8283	0.99997	1.0	1.0	20061	0	0
MRPS27__P1P2	5	1.3084e-07	2.4115e-07	4e-06	80	5	-3.4836	1.0	1.0	1.0	20474	0	0
NDUFB6__P1P2	5	1.3354e-07	2.4115e-07	4e-06	81	5	-3.9197	1.0	1.0	1.0	20473	0	0
IPO13__P1P2	5	1.343e-07	2.4115e-07	4e-06	82	5	-4.471	1.0	1.0	1.0	20472	0	0
DDX24__P1P2	5	1.3491e-07	2.4115e-07	4e-06	83	5	-3.3337	1.0	1.0	1.0	20471	0	0
ALYREF__P1P2	5	1.3552e-07	2.4115e-07	4e-06	84	5	-2.6921	1.0	1.0	1.0	20470	0	0
MRPL48__P1P2	5	1.3691e-07	2.4115e-07	4e-06	85	5	-4.2303	1.0	1.0	1.0	20469	0	0
KANSL3__P1P2	5	1.4273e-07	2.4115e-07	4e-06	86	5	-4.881	1.0	1.0	1.0	20467	0	0
RPS10-NUDT3__P1P2	5	1.431e-07	2.4115e-07	4e-06	87	4	-3.8129	0.87784	0.86764	1.0	16691	0	0
RPS10__P1P2	5	1.431e-07	2.4115e-07	4e-06	88	4	-3.8129	0.87784	0.86764	1.0	16692	0	0
SNRNP200__P1P2	5	1.4759e-07	2.4115e-07	4e-06	89	5	-5.0203	1.0	1.0	1.0	20466	0	0
UTP20__P1P2	5	1.4891e-07	2.4115e-07	4e-06	90	5	-4.5746	1.0	1.0	1.0	20465	0	0
PDCD7__P1P2	5	1.5073e-07	2.4115e-07	4e-06	91	5	-3.1324	1.0	1.0	1.0	20464	0	0
TOPBP1__P1P2	5	1.5157e-07	2.4115e-07	4e-06	92	5	-4.8683	1.0	1.0	1.0	20463	0	0
SNRPF__P1P2	5	1.5191e-07	2.4115e-07	4e-06	93	5	-4.2239	1.0	1.0	1.0	20462	0	0
PGGT1B__P1P2	5	1.5478e-07	2.4115e-07	4e-06	94	5	-4.3017	1.0	1.0	1.0	20461	0	0
MRPL43__P1P2	5	1.5701e-07	2.4115e-07	4e-06	95	5	-4.2047	1.0	1.0	1.0	20460	0	0
AARS2__P1P2	5	1.6801e-07	2.4115e-07	4e-06	96	5	-4.1189	1.0	1.0	1.0	20459	0	0
TREX2__P1P2	5	1.7845e-07	2.4115e-07	4e-06	97	5	-3.7908	0.99997	1.0	1.0	20062	0	0
GTF2H2__ENST00000274400.5_ENST00000330280.7	5	1.927e-07	2.4115e-07	4e-06	98	5	-3.4392	1.0	1.0	1.0	20389	0	0
CSDE1__P1P2	5	1.9295e-07	2.4115e-07	4e-06	99	5	-2.4866	1.0	1.0	1.0	20428	0	0
PSMD4__P1P2	5	1.9675e-07	2.4115e-07	4e-06	100	5	-3.4952	1.0	1.0	1.0	20458	0	0
TELO2__P1P2	5	2.0687e-07	2.4115e-07	4e-06	101	5	-4.6891	1.0	1.0	1.0	20457	0	0
GTPBP10__P1P2	5	2.0816e-07	2.4115e-07	4e-06	102	5	-3.6142	1.0	1.0	1.0	20456	0	0
WDR36__P1P2	5	2.1384e-07	2.4115e-07	4e-06	103	5	-4.3913	1.0	1.0	1.0	20455	0	0
RBM18__P1P2	5	2.2558e-07	2.4115e-07	4e-06	104	5	-2.8981	1.0	1.0	1.0	20454	0	0
CWC15__P1P2	5	2.3014e-07	2.4115e-07	4e-06	105	5	-3.4511	0.99999	1.0	1.0	20250	0	0
NAF1__P1P2	5	2.3495e-07	2.4115e-07	4e-06	106	5	-3.6906	1.0	1.0	1.0	20453	0	0
EIF5A__P1P2	5	2.3662e-07	2.4115e-07	4e-06	107	5	-4.7398	1.0	1.0	1.0	20452	0	0
KRR1__P1P2	5	2.4811e-07	2.4115e-07	4e-06	108	4	-3.489	0.98405	0.99173	1.0	18982	0	0
GTF3C5__P1P2	5	2.4918e-07	2.4115e-07	4e-06	109	4	-3.6879	0.96647	0.97533	1.0	18535	0	0
MCM2__P1P2	5	2.5129e-07	2.4115e-07	4e-06	110	5	-4.8834	1.0	1.0	1.0	20263	0	0
PNISR__P1	5	2.6575e-07	2.4115e-07	4e-06	111	5	-4.0596	1.0	1.0	1.0	20450	0	0
PDSS2__P1P2	5	2.8024e-07	2.4115e-07	4e-06	112	5	-3.7495	1.0	1.0	1.0	20449	0	0
LSM7__P1P2	5	2.8765e-07	2.4115e-07	4e-06	113	4	-3.5941	0.97992	0.98815	1.0	18872	0	0
PMF1__P1P2	5	2.948e-07	2.4115e-07	4e-06	114	5	-2.7809	1.0	1.0	1.0	20448	0	0
RTN4IP1__P1P2	5	3.0055e-07	2.4115e-07	4e-06	115	5	-3.9527	1.0	1.0	1.0	20447	0	0
LARS__P1P2	5	3.1685e-07	2.4115e-07	4e-06	116	5	-3.8666	1.0	1.0	1.0	20446	0	0
CHAF1B__P1P2	5	3.251e-07	2.4115e-07	4e-06	117	5	-6.2973	1.0	1.0	1.0	20445	0	0
RPAP3__P1P2	5	3.3321e-07	2.4115e-07	4e-06	118	5	-4.9348	1.0	1.0	1.0	20444	0	0
RPL19__P1P2	5	3.5353e-07	2.4115e-07	4e-06	119	5	-4.2499	1.0	1.0	1.0	20443	0	0
SNW1__P1	5	3.5818e-07	2.4115e-07	4e-06	120	5	-3.8099	1.0	1.0	1.0	20442	0	0
CCT3__P1P2	5	3.6288e-07	2.4115e-07	4e-06	121	5	-4.1736	1.0	1.0	1.0	20441	0	0
DGCR14__P1P2	5	3.6674e-07	2.4115e-07	4e-06	122	5	-3.4962	1.0	1.0	1.0	20286	0	0
MRPS16__P1P2	5	3.6759e-07	2.4115e-07	4e-06	123	5	-4.0825	0.99999	1.0	1.0	20257	0	0
POP5__P1P2	5	3.8579e-07	2.4115e-07	4e-06	124	3	-3.8211	0.28507	0.16033	0.605692	5418	1	0.43535
CTR9__P1P2	5	3.8664e-07	2.4115e-07	4e-06	125	5	-3.9981	0.99999	1.0	1.0	20221	0	0
EIF4G2__P1	5	4.1561e-07	2.4115e-07	4e-06	126	5	-4.5271	1.0	1.0	1.0	20440	0	0
MED28__P1P2	5	4.1844e-07	2.4115e-07	4e-06	127	4	-4.3609	0.4784	0.31797	0.764265	8503	1	0.31838
CLTC__P1P2	5	4.228e-07	2.4115e-07	4e-06	128	5	-2.5314	1.0	1.0	1.0	20439	0	0
DTL__P1P2	5	4.2547e-07	2.4115e-07	4e-06	129	5	-3.0912	1.0	1.0	1.0	20438	0	0
SPC25__P1P2	5	4.6271e-07	2.4115e-07	4e-06	130	5	-4.8873	1.0	1.0	1.0	20437	0	0
SMNDC1__P1P2	5	4.7849e-07	2.4115e-07	4e-06	131	5	-4.8596	1.0	1.0	1.0	20436	0	0
RAD50__P1P2	5	4.7975e-07	2.4115e-07	4e-06	132	5	-3.9112	1.0	1.0	1.0	20435	0	0
RPS24__P1P2	5	4.8824e-07	2.4115e-07	4e-06	133	5	-4.7855	1.0	1.0	1.0	20434	0	0
