sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
GTF3C4__P1P2__primary__RVS__64	GTF3C4__P1P2	1278.1	97.814/108.02	1278.1	102.92	-3.6216	52.08	6.2491e+07	2.3617	0.0090951	0.9909	0.01819	0.33692	False
MANSC1__P1P2__secondary__RVS__46	MANSC1__P1P2	1025	107.9/87.984	1025	97.941	-3.3743	198.28	5.0115e+07	2.3337	0.0098054	0.99019	0.019611	0.33692	False
BTAF1_+_93683628.23-P1P2	BTAF1__P1P2	1311.1	89.747/141.12	1311.1	115.43	-3.4943	1319.7	6.4108e+07	2.3243	0.010055	0.98994	0.02011	0.33692	False
SMN2__69345238__RVS__469	SMN2__69345238	1112.8	126.05/85.37	1112.8	105.71	-3.3837	827.36	5.4408e+07	2.3224	0.010105	0.98989	0.020211	0.33692	False
ANP32B_+_100745631.23-P1P2	ANP32B__P1P2	1152.7	114.96/102.79	1152.7	108.87	-3.3923	73.975	5.6359e+07	2.3188	0.010203	0.9898	0.020406	0.33692	False
SUPT4H1__P1P2__primary__RVS__84	SUPT4H1__P1P2	1550.6	120/141.12	1550.6	130.56	-3.5599	223.12	7.5814e+07	2.3141	0.010331	0.98967	0.020662	0.33692	False
DUSP12__P1P2__primarysecondary__RVS__38	DUSP12__P1P2	934.89	113.95/83.628	934.89	98.788	-3.2294	459.65	4.5712e+07	2.3111	0.010413	0.98959	0.020827	0.33692	False
DNMT1_-_10305600.23-P1P2	DNMT1__P1P2	1254.1	104.87/128.93	1254.1	116.9	-3.4122	289.3	6.132e+07	2.31	0.010444	0.98956	0.020888	0.33692	False
UBA3_+_69129471.23-P1P2	UBA3__P1P2	1367	133.11/113.25	1367	123.18	-3.4616	197.23	6.6839e+07	2.3088	0.010478	0.98952	0.020955	0.33692	False
PPP1CB_+_28975374.23-P1P2	PPP1CB__P1P2	1412.6	112.94/138.51	1412.6	125.72	-3.4796	326.9	6.9069e+07	2.3081	0.010496	0.9895	0.020991	0.33692	False
DNAJC2_-_102985246.23-P1P2	DNAJC2__P1P2	1408	129.07/123.7	1408	126.39	-3.4674	14.439	6.8846e+07	2.3055	0.01057	0.98943	0.021141	0.33692	False
NPLOC4_+_79604076.23-P1P2	NPLOC4__P1P2	812.9	94.789/94.953	812.9	94.871	-3.0857	0.013478	3.9747e+07	2.297	0.010809	0.98919	0.021619	0.33692	False
MBIP_+_36789756.23-P1P2	MBIP__P1P2	1512.9	135.12/136.77	1512.9	135.95	-3.4666	1.3492	7.3975e+07	2.2935	0.010911	0.98909	0.021822	0.33692	False
ORC5__P1P2__primarysecondary__RVS__64	ORC5__P1P2	1548.3	150.25/125.44	1548.3	137.85	-3.48	307.71	7.5703e+07	2.2932	0.010917	0.98908	0.021835	0.33692	False
ZRSR2_-_15808705.23-P1P2	ZRSR2__P1P2	1345.3	147.23/113.25	1345.3	130.24	-3.3588	577.27	6.578e+07	2.2842	0.01118	0.98882	0.022361	0.33692	False
ORC5_+_103848420.23-P1P2	ORC5__P1P2	1628.1	162.35/128.93	1628.1	145.64	-3.4737	558.58	7.9605e+07	2.2833	0.011205	0.98879	0.02241	0.33692	False
SUGP1__P1P2__primarysecondary__RVS__63	SUGP1__P1P2	1493.5	139.16/138.51	1493.5	138.83	-3.4179	0.21036	7.3027e+07	2.2826	0.011226	0.98877	0.022452	0.33692	False
FDXR__P1P2__primary__RVS__81	FDXR__P1P2	1534.6	148.23/134.15	1534.6	141.19	-3.4329	99.12	7.5034e+07	2.2821	0.01124	0.98876	0.022481	0.33692	False
SMN2__69345238__RVS__1	SMN2__69345238	937.17	141.17/74.917	937.17	108.05	-3.1049	2195	4.5823e+07	2.2776	0.011375	0.98863	0.022749	0.33692	False
VWA9_+_65903426.23-P1P2	VWA9__P1P2	1367	116.97/152.45	1367	134.71	-3.3335	629.2	6.6839e+07	2.2748	0.01146	0.98854	0.02292	0.33692	False
CEP63__P1P2__secondary__FWD__59	CEP63__P1P2	1405.8	144.2/132.41	1405.8	138.31	-3.3361	69.484	6.8734e+07	2.2708	0.011579	0.98842	0.023159	0.33692	False
CEP63_-_134205066.23-P1P2	CEP63__P1P2	1022.7	116.97/114.12	1022.7	115.55	-3.1348	4.0772	5.0004e+07	2.2706	0.011584	0.98842	0.023169	0.33692	False
CCDC130_-_13858696.23-P1	CCDC130__P1	872.19	112.94/99.309	872.19	106.12	-3.027	92.905	4.2645e+07	2.2692	0.011629	0.98837	0.023258	0.33692	False
CENPF_+_214776771.23-P1P2	CENPF__P1P2	945.15	110.92/111.5	945.15	111.21	-3.0758	0.16899	4.6213e+07	2.2684	0.011653	0.98835	0.023306	0.33692	False
HUS1_-_48019152.23-P1P2	HUS1__P1P2	1916.5	181.51/151.58	1916.5	166.54	-3.5166	448.03	9.3709e+07	2.2683	0.011654	0.98835	0.023308	0.33692	False
SGK3__ENST00000522398.1_ENST00000396596.1__secondary__FWD__53	SGK3__ENST00000396596.1_ENST00000522398.1	937.17	107.9/114.12	937.17	111.01	-3.0663	19.344	4.5823e+07	2.2673	0.011687	0.98831	0.023374	0.33692	False
ORC5__P1P2__primarysecondary__FWD__50	ORC5__P1P2	1615.5	161.34/141.12	1615.5	151.23	-3.4086	204.42	7.8992e+07	2.2672	0.011688	0.98831	0.023377	0.33692	False
ZC3H4_+_47615075.23-P1	ZC3H4__P1	1246.1	110.92/149.83	1246.1	130.38	-3.2468	757.03	6.093e+07	2.2671	0.011692	0.98831	0.023384	0.33692	False
ZAR1L__32888686__FWD__34	ZAR1L__P1P2	1194.8	149.24/107.15	1194.8	128.2	-3.2104	885.92	5.8422e+07	2.2644	0.011774	0.98823	0.023548	0.33692	False
MSI1_-_120806970.23-P1P2	MSI1__P1P2	942.87	96.805/128.06	942.87	112.43	-3.0568	488.29	4.6102e+07	2.2637	0.011797	0.9882	0.023593	0.33692	False
STX7_+_132834178.23-P1P2	STX7__P1P2	1052.3	108.91/130.67	1052.3	119.79	-3.1244	236.81	5.1453e+07	2.263	0.011819	0.98818	0.023638	0.33692	False
LTN1_+_30365073.23-P1P2	LTN1__P1P2	964.54	118.99/110.63	964.54	114.81	-3.0596	34.919	4.7161e+07	2.2605	0.011895	0.98811	0.023789	0.33692	False
ARRDC4_+_98503988.23-P1P2	ARRDC4__P1P2	828.86	122.02/90.597	828.86	106.31	-2.9511	493.55	4.0527e+07	2.2577	0.011984	0.98802	0.023967	0.33692	False
PPP1CB__P1P2__primary__RVS__94	PPP1CB__P1P2	1436.5	153.28/137.64	1436.5	145.46	-3.2951	122.26	7.024e+07	2.2562	0.012029	0.98797	0.024057	0.33692	False
ORC5__P1P2__primarysecondary__FWD__49	ORC5__P1P2	1444.5	189.58/102.79	1444.5	146.19	-3.2959	3765.8	7.063e+07	2.2555	0.01205	0.98795	0.024101	0.33692	False
HUS1__P1P2__primary__RVS__57	HUS1__P1P2	1338.5	155.29/126.31	1338.5	140.8	-3.2397	419.88	6.5445e+07	2.2532	0.012124	0.98788	0.024248	0.33692	False
XRCC1__P1P2__primary__RVS__15	XRCC1__P1P2	1548.3	163.36/142.86	1548.3	153.11	-3.3295	210.01	7.5703e+07	2.253	0.012128	0.98787	0.024257	0.33692	False
DHX35_+_37591047.23-P1P2	DHX35__P1P2	950.85	147.23/85.37	950.85	116.3	-3.0206	1913	4.6492e+07	2.2525	0.012146	0.98785	0.024291	0.33692	False
ORC5_-_103848433.23-P1P2	ORC5__P1P2	1330.5	182.52/99.309	1330.5	140.91	-3.23	3462	6.5055e+07	2.2516	0.012175	0.98782	0.02435	0.33692	False
HUS1__P1P2__primary__FWD__69	HUS1__P1P2	1263.2	136.13/138.51	1263.2	137.32	-3.1922	2.824	6.1766e+07	2.2501	0.01222	0.98778	0.024441	0.33692	False
PPIL1__P1P2__primary__FWD__50	PPIL1__P1P2	1193.7	123.02/143.74	1193.7	133.38	-3.1523	214.5	5.8366e+07	2.249	0.012257	0.98774	0.024514	0.33692	False
MBIP_+_36789437.23-P1P2	MBIP__P1P2	1721.6	175.46/154.19	1721.6	164.82	-3.3768	226.21	8.4176e+07	2.2483	0.012279	0.98772	0.024558	0.33692	False
CTIF_+_46065872.23-P1P2	CTIF__P1P2	771.86	121.01/88.855	771.86	104.93	-2.8671	516.87	3.774e+07	2.2475	0.012305	0.9877	0.02461	0.33692	False
DUSP12_-_161719619.23-P1P2	DUSP12__P1P2	1416	184.54/111.5	1416	148.02	-3.2493	2666.8	6.9236e+07	2.2463	0.012342	0.98766	0.024684	0.33692	False
RAD21_+_117886968.23-P1P2	RAD21__P1P2	1588.2	151.26/169	1588.2	160.13	-3.302	157.36	7.7654e+07	2.2414	0.0125	0.9875	0.025	0.33692	False
SERBP1_-_67896013.23-P1P2	SERBP1__P1P2	1312.3	127.06/160.29	1312.3	143.67	-3.1823	552.12	6.4163e+07	2.241	0.012512	0.98749	0.025024	0.33692	False
DROSHA__31531421__RVS__39	DROSHA__31531421	1133.3	164.37/101.92	1133.3	133.14	-3.0799	1949.7	5.5411e+07	2.2383	0.012601	0.9874	0.025201	0.33692	False
PARN_-_14723660.23-P1P2	PARN__P1P2	1343.1	190.59/102.79	1343.1	146.69	-3.186	3853.8	6.5668e+07	2.2381	0.012607	0.98739	0.025214	0.33692	False
DNAJC2_+_102985168.23-P1P2	DNAJC2__P1P2	1784.3	177.48/168.13	1784.3	172.8	-3.3606	43.703	8.7242e+07	2.238	0.012609	0.98739	0.025218	0.33692	False
non-targeting_00322	negative_control__na	1080.8	146.22/113.25	1080.8	129.73	-3.0488	543.51	5.2847e+07	2.238	0.01261	0.98739	0.02522	0.33692	False
MED15_-_20861917.23-P1	MED15__P1	1387.5	168.4/130.67	1387.5	149.54	-3.2054	711.86	6.7843e+07	2.2379	0.012615	0.98739	0.02523	0.33692	False
NAE1__P1P2__primarysecondary__RVS__66	NAE1__P1P2	2045.4	181.51/193.39	2045.4	187.45	-3.4408	70.567	1.0001e+08	2.2375	0.012627	0.98737	0.025254	0.33692	False
FBXO28_+_224301904.23-P1P2	FBXO28__P1P2	1055.7	133.11/123.7	1055.7	128.4	-3.0297	44.25	5.1621e+07	2.2369	0.012647	0.98735	0.025294	0.33692	False
ARHGAP4__P1__primarysecondary__RVS__41	ARHGAP4__P1	970.24	118.99/126.31	970.24	122.65	-2.9735	26.816	4.744e+07	2.2363	0.012666	0.98733	0.025332	0.33692	False
C1QTNF9B-AS1_+_24463433.23-P1P2	C1QTNF9B-AS1__P1P2	1139	160.33/108.89	1139	134.61	-3.0714	1323.2	5.569e+07	2.2352	0.012704	0.9873	0.025407	0.33692	False
CMC2_-_81040415.23-P1P2	CMC2__P1P2	1419.4	183.53/121.96	1419.4	152.74	-3.2078	1895.4	6.9403e+07	2.2347	0.012719	0.98728	0.025438	0.33692	False
CCDC12__P1__primarysecondary__FWD__76	CCDC12__P1	1076.3	181.51/80.144	1076.3	130.83	-3.0307	5137.6	5.2624e+07	2.2338	0.012747	0.98725	0.025494	0.33692	False
DNAJC2__P1P2__primary__FWD__51	DNAJC2__P1P2	1668	159.33/176.84	1668	168.08	-3.3032	153.36	8.1556e+07	2.2336	0.012754	0.98725	0.025509	0.33692	False
UNC45A__P1__primarysecondary__RVS__39	UNC45A__P1	1589.3	176.47/150.71	1589.3	163.59	-3.2724	331.87	7.771e+07	2.2333	0.012765	0.98724	0.02553	0.33692	False
ZNHIT3_+_34842541.23-P1P2	ZNHIT3__P1P2	1298.6	138.15/153.32	1298.6	145.73	-3.1468	115.05	6.3494e+07	2.2332	0.012768	0.98723	0.025536	0.33692	False
PFDN4__P1P2__primary__FWD__60	PFDN4__P1P2	1261	180.5/106.28	1261	143.39	-3.1276	2754.6	6.1655e+07	2.233	0.012774	0.98723	0.025549	0.33692	False
INTS10_+_19674977.23-P1P2	INTS10__P1P2	1507.2	190.59/128.06	1507.2	159.32	-3.2338	1955	7.3696e+07	2.2317	0.012818	0.98718	0.025636	0.33692	False
PPP1CB_+_28974937.23-P1P2	PPP1CB__P1P2	956.56	146.22/101.05	956.56	123.63	-2.9417	1020	4.6771e+07	2.2301	0.012869	0.98713	0.025739	0.33692	False
NEDD8-MDP1_+_24701514.23-P1P2	NEDD8-MDP1__P1P2	1075.1	165.38/99.309	1075.1	132.34	-3.0126	2182.5	5.2568e+07	2.2291	0.012902	0.9871	0.025805	0.33692	False
SPIN1_+_91003746.23-P1P2	SPIN1__P1P2	619.08	101.85/93.211	619.08	97.529	-2.6538	37.297	3.027e+07	2.2289	0.012911	0.98709	0.025822	0.33692	False
DUSP12_+_161719608.23-P1P2	DUSP12__P1P2	1771.7	179.49/173.35	1771.7	176.42	-3.3207	18.845	8.6629e+07	2.2284	0.012927	0.98707	0.025854	0.33692	False
CHERP_-_16653216.23-P1P2	CHERP__P1P2	799.22	142.18/82.757	799.22	112.47	-2.8181	1765.7	3.9078e+07	2.2281	0.012938	0.98706	0.025876	0.33692	False
NPLOC4__P1P2__primarysecondary__FWD__72	NPLOC4__P1P2	798.08	145.21/81.015	798.08	113.11	-2.8079	2060.4	3.9022e+07	2.2256	0.013022	0.98698	0.026044	0.33692	False
ACTR8_-_53915974.23-P1P2	ACTR8__P1P2	1006.7	153.28/104.54	1006.7	128.91	-2.9556	1187.8	4.9223e+07	2.225	0.01304	0.98696	0.02608	0.33692	False
ZRSR2_-_15808867.23-P1P2	ZRSR2__P1P2	1461.6	163.36/155.93	1461.6	159.65	-3.1866	27.584	7.1466e+07	2.224	0.013073	0.98693	0.026146	0.33692	False
