id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LSM6__P1P2	5	1.9972e-10	2.4115e-07	5e-06	1	5	-4.9859	1.0	1.0	1.0	20528	0	0
GEMIN5__P1P2	5	2.1965e-10	2.4115e-07	5e-06	2	5	-5.4182	1.0	1.0	1.0	20527	0	0
HSD17B10__P1P2	5	5.1006e-10	2.4115e-07	5e-06	3	5	-5.5358	1.0	1.0	1.0	20526	0	0
GINS1__P1P2	5	7.5533e-10	2.4115e-07	5e-06	4	5	-5.9049	1.0	1.0	1.0	20525	0	0
CHMP6__P1P2	5	1.1876e-09	2.4115e-07	5e-06	5	5	-4.8901	1.0	1.0	1.0	20524	0	0
CPSF1__P1P2	5	1.9174e-09	2.4115e-07	5e-06	6	5	-5.1451	1.0	1.0	1.0	20523	0	0
MRPL22__P1P2	5	2.3073e-09	2.4115e-07	5e-06	7	5	-5.788	1.0	1.0	1.0	20522	0	0
C2orf15__P1P2	5	2.5026e-09	2.4115e-07	5e-06	8	5	-5.3267	1.0	1.0	1.0	20521	0	0
INTS2__P1P2	5	4.388e-09	2.4115e-07	5e-06	9	5	-4.7853	1.0	1.0	1.0	20520	0	0
FARSB__P1P2	5	4.3977e-09	2.4115e-07	5e-06	10	5	-6.1206	1.0	1.0	1.0	20466	0	0
TBCA__P1P2	5	5.9437e-09	2.4115e-07	5e-06	11	5	-4.7098	1.0	1.0	1.0	20519	0	0
GEMIN2__P1P2	5	7.3587e-09	2.4115e-07	5e-06	12	5	-4.4437	1.0	1.0	1.0	20518	0	0
DROSHA__P1P2	5	8.3655e-09	2.4115e-07	5e-06	13	5	-4.7758	1.0	1.0	1.0	20517	0	0
BUB1__P1P2	5	8.8566e-09	2.4115e-07	5e-06	14	5	-4.6201	1.0	1.0	1.0	20516	0	0
ZC3H8__P1P2	5	1.1844e-08	2.4115e-07	5e-06	15	5	-4.6537	1.0	1.0	1.0	20515	0	0
HAUS1__P1P2	5	1.2064e-08	2.4115e-07	5e-06	16	5	-4.831	1.0	1.0	1.0	20514	0	0
ATP6V1C1__P1P2	5	1.4735e-08	2.4115e-07	5e-06	17	5	-4.6458	1.0	1.0	1.0	20513	0	0
MCM2__P1P2	5	1.9333e-08	2.4115e-07	5e-06	18	5	-5.2732	1.0	1.0	1.0	20512	0	0
SAMM50__P1P2	5	1.9463e-08	2.4115e-07	5e-06	19	5	-4.6219	1.0	1.0	1.0	20511	0	0
ATR__P1P2	5	1.9856e-08	2.4115e-07	5e-06	20	5	-5.0305	1.0	1.0	1.0	20510	0	0
PFDN2__P1P2	5	2.0868e-08	2.4115e-07	5e-06	21	5	-5.429	1.0	1.0	1.0	20374	0	0
VBP1__P1P2	5	2.3577e-08	2.4115e-07	5e-06	22	5	-4.4806	1.0	1.0	1.0	20509	0	0
SQLE__P1P2	5	2.3997e-08	2.4115e-07	5e-06	23	5	-4.6508	1.0	1.0	1.0	20508	0	0
CCNH__P1P2	5	2.4306e-08	2.4115e-07	5e-06	24	5	-4.5957	1.0	1.0	1.0	20507	0	0
CHAF1B__P1P2	5	2.5014e-08	2.4115e-07	5e-06	25	5	-5.5182	1.0	1.0	1.0	20506	0	0
SOD1__P1P2	5	2.5133e-08	2.4115e-07	5e-06	26	5	-4.7604	1.0	1.0	1.0	20505	0	0
MBTPS2__P1P2	5	2.5475e-08	2.4115e-07	5e-06	27	5	-5.7976	1.0	1.0	1.0	20460	0	0
GEMIN4__P1P2	5	2.5737e-08	2.4115e-07	5e-06	28	5	-4.4401	1.0	1.0	1.0	20504	0	0
NDUFAF1__P1P2	5	2.6023e-08	2.4115e-07	5e-06	29	5	-4.5176	1.0	1.0	1.0	20503	0	0
MRPL30__P1	5	3.03e-08	2.4115e-07	5e-06	30	5	-5.1394	1.0	1.0	1.0	20502	0	0
CDC16__P1P2	5	3.1429e-08	2.4115e-07	5e-06	31	5	-4.3448	1.0	1.0	1.0	20501	0	0
PGK1__P1P2	5	3.2151e-08	2.4115e-07	5e-06	32	5	-4.1034	1.0	1.0	1.0	20500	0	0
NDUFA8__P1P2	5	3.4655e-08	2.4115e-07	5e-06	33	5	-4.4143	1.0	1.0	1.0	20499	0	0
FAM32A__P1P2	5	3.7094e-08	2.4115e-07	5e-06	34	5	-4.1585	1.0	1.0	1.0	20498	0	0
SSB__P1P2	5	4.1067e-08	2.4115e-07	5e-06	35	5	-4.7804	1.0	1.0	1.0	20497	0	0
NUDC__P1P2	5	4.2994e-08	2.4115e-07	5e-06	36	5	-4.2941	1.0	1.0	1.0	20496	0	0
NDUFC1__P1	5	4.3363e-08	2.4115e-07	5e-06	37	5	-4.1775	1.0	1.0	1.0	20495	0	0
MIS18BP1__P1P2	5	4.5374e-08	2.4115e-07	5e-06	38	5	-4.1308	1.0	1.0	1.0	20494	0	0
ANAPC4__P1P2	5	4.9279e-08	2.4115e-07	5e-06	39	5	-5.4592	1.0	1.0	1.0	20493	0	0
ATP6V1H__P1P2	5	5.1648e-08	2.4115e-07	5e-06	40	5	-3.8675	1.0	1.0	1.0	20492	0	0
MYBBP1A__P1P2	5	5.3083e-08	2.4115e-07	5e-06	41	5	-4.6655	1.0	1.0	1.0	20491	0	0
PDHA1__P1P2	5	5.7815e-08	2.4115e-07	5e-06	42	5	-3.7355	1.0	1.0	1.0	20490	0	0
NARG2__P1P2	5	5.8597e-08	2.4115e-07	5e-06	43	5	-4.4581	1.0	1.0	1.0	20489	0	0
FDFT1__P1	5	6.0104e-08	2.4115e-07	5e-06	44	5	-4.3975	1.0	1.0	1.0	20488	0	0
SEC14L1__P2	5	6.0393e-08	2.4115e-07	5e-06	45	4	-5.9405	0.99725	0.99955	1.0	19443	0	0
SHFM1__P1P2	5	6.1234e-08	2.4115e-07	5e-06	46	5	-4.2765	1.0	1.0	1.0	20487	0	0
EMC4__P1P2	5	6.4051e-08	2.4115e-07	5e-06	47	5	-3.8936	1.0	1.0	1.0	20486	0	0
SMN2__ENST00000380743.4	5	6.4771e-08	2.4115e-07	5e-06	48	5	-4.1494	1.0	1.0	1.0	20484	0	0
SMN1__ENST00000380707.4	5	6.4771e-08	2.4115e-07	5e-06	49	5	-4.1494	1.0	1.0	1.0	20485	0	0
PPP1R8__P1P2	5	7.0178e-08	2.4115e-07	5e-06	50	5	-5.5412	1.0	1.0	1.0	20461	0	0
DBR1__P1P2	5	8.6908e-08	2.4115e-07	5e-06	51	5	-4.0848	1.0	1.0	1.0	20483	0	0
USP39__P1	5	8.9065e-08	2.4115e-07	5e-06	52	5	-4.7084	1.0	1.0	1.0	20406	0	0
POLD2__P1P2	5	9.1975e-08	2.4115e-07	5e-06	53	5	-4.6203	1.0	1.0	1.0	20482	0	0
