id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MINOS1-NBL1__P1P2	8	2.6433e-13	4.9462e-06	5.1e-05	1	8	-2.6724	1.0	1.0	1.0	971	0	0
PIGY__P1P2	8	4.9735e-12	4.9462e-06	5.1e-05	2	8	-3.1892	1.0	1.0	1.0	970	0	0
PARL__P1P2	8	2.5547e-11	4.9462e-06	5.1e-05	3	8	-2.1695	1.0	1.0	1.0	969	0	0
NDUFS8__P1P2	8	3.8038e-11	4.9462e-06	5.1e-05	4	7	-3.0171	1.0	1.0	1.0	956	0	0
AATF__P1P2	8	4.5222e-11	4.9462e-06	5.1e-05	5	8	-3.2483	1.0	1.0	1.0	968	0	0
BUB1__P1P2	8	7.5383e-10	4.9462e-06	5.1e-05	6	8	-2.0609	1.0	1.0	1.0	967	0	0
RPS14__P1P2	8	8.4421e-10	4.9462e-06	5.1e-05	7	8	-2.7324	1.0	1.0	1.0	966	0	0
MIEF1__P1P2	8	3.389e-09	4.9462e-06	5.1e-05	8	8	-2.7863	1.0	1.0	1.0	965	0	0
SMARCC1__P1P2	8	4.2582e-09	4.9462e-06	5.1e-05	9	7	-2.3289	0.99986	1.0	1.0	926	0	0
DDX10__P1P2	8	1.4233e-08	4.9462e-06	5.1e-05	10	7	-2.9523	0.97062	0.96889	1.0	779	0	0
RPL34__P1P2	8	1.7064e-08	4.9462e-06	5.1e-05	11	7	-2.4764	1.0	1.0	1.0	964	0	0
PRKDC__P1P2	8	4.6233e-08	4.9462e-06	5.1e-05	12	7	-1.9684	0.99981	1.0	1.0	925	0	0
NDUFAF6__P1P2	8	5.6453e-08	4.9462e-06	5.1e-05	13	7	-2.166	1.0	1.0	1.0	954	0	0
PDS5B__P1P2	8	8.6921e-08	4.9462e-06	5.1e-05	14	7	-1.7941	1.0	1.0	1.0	953	0	0
COG6__P1P2	8	1.0351e-07	4.9462e-06	5.1e-05	15	6	-2.6606	0.99945	0.99995	1.0	916	0	0
DCP2__P1P2	8	2.9663e-07	4.9462e-06	5.1e-05	16	6	-2.2282	0.99929	0.9999	1.0	908	0	0
SPTLC2__P1P2	8	3.6761e-07	4.9462e-06	5.1e-05	17	7	-1.7319	1.0	1.0	1.0	963	0	0
SMN2__69345238	8	9.4939e-07	4.9462e-06	5.1e-05	18	5	-3.1566	0.98893	0.99301	1.0	840	0	0
CYLD__P1P2	8	1.2874e-06	4.9462e-06	5.1e-05	19	6	-2.0669	1.0	1.0	1.0	961	0	0
DROSHA__31531421	8	1.4842e-06	4.9462e-06	5.1e-05	20	5	-2.6403	0.9833	0.98715	1.0	816	0	0
NUTF2__P1P2	8	1.7994e-06	4.9462e-06	5.1e-05	21	5	-2.8897	0.99998	1.0	1.0	939	0	0
DNMT1__P1P2	8	2.2834e-06	4.9462e-06	5.1e-05	22	4	-3.6014	0.99471	0.99777	1.0	866	0	0
RPL9__P1P2	8	2.4445e-06	4.9462e-06	5.1e-05	23	6	-2.3352	1.0	1.0	1.0	945	0	0
RPL36A__P1P2	8	2.5107e-06	4.9462e-06	5.1e-05	24	6	-2.1066	0.99996	1.0	1.0	936	0	0
TMEM68__P1P2	8	3.5807e-06	4.9462e-06	5.1e-05	25	5	-2.4893	0.97784	0.98052	1.0	802	0	0
FECH__P1P2	8	4.753e-06	4.9462e-06	5.1e-05	26	6	-1.9381	0.69081	0.38423	0.88084	423	0	0
CDK2__P1P2	8	6.7237e-06	4.9462e-06	5.1e-05	27	6	-1.963	1.0	1.0	1.0	960	0	0
NDC1__P1P2	8	7.4587e-06	4.9462e-06	5.1e-05	28	6	-1.665	0.97256	0.97209	1.0	784	0	0
C1QTNF9B-AS1__P1P2	8	8.8723e-06	4.9462e-06	5.1e-05	29	6	-2.3327	0.99733	0.99918	1.0	885	0	0
KAT5__P1P2	8	9.6094e-06	4.9462e-06	5.1e-05	30	5	-2.4823	0.98996	0.99389	1.0	844	0	0
NRF1__P1P2	8	1.0227e-05	4.9462e-06	5.1e-05	31	5	-2.6221	0.99977	1.0	1.0	924	0	0
NXT1__P1P2	8	1.1557e-05	4.9462e-06	5.1e-05	32	6	-1.8154	0.97837	0.98133	1.0	803	0	0
IPO7__P1P2	8	1.1636e-05	4.9462e-06	5.1e-05	33	6	-1.7577	0.93655	0.90886	1.0	708	0	0
