sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	1666.1	21322/21497	1666.1	21410	3.683	15312	5.8931e+05	25.719	1	3.6277e-146	7.2554e-146	7.0312e-142	True
BAK1__33547269__RVS__73	BAK1__33547269	1749	20776/19487	1749	20131	3.5241	8.3046e+05	6.4279e+05	22.928	1	1.2413e-116	2.4827e-116	1.203e-112	True
BAK1__33547269__FWD__65	BAK1__33547269	2303.5	26411/24802	2303.5	25606	3.4741	1.2941e+06	1.052e+06	22.72	1	1.4364e-114	2.8728e-114	9.2802e-111	True
BAK1__33547269__RVS__14	BAK1__33547269	2298.3	25914/25108	2298.3	25511	3.4719	3.2548e+05	1.0477e+06	22.678	1	3.7545e-114	7.5089e-114	1.8192e-110	True
BAK1__33547269__FWD__55	BAK1__33547269	1917.4	20825/22329	1917.4	21577	3.4916	1.1307e+06	7.5768e+05	22.586	1	3.0242e-113	6.0483e-113	1.1723e-109	True
BAK1__33547269__FWD__14	BAK1__33547269	2202.4	22967/24880	2202.4	23923	3.4407	1.829e+06	9.7084e+05	22.045	1	5.4225e-108	1.0845e-107	1.7516e-104	True
BAK1__33547269__RVS__36	BAK1__33547269	2194.6	24967/21911	2194.6	23439	3.4163	4.6699e+06	9.6472e+05	21.629	1	4.834e-104	9.668e-104	1.3385e-100	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	2653.2	27580/27903	2653.2	27741	3.3857	52266	1.3547e+06	21.555	1	2.415e-103	4.8301e-103	5.8511e-100	True
BAK1__33547269__FWD__38	BAK1__33547269	2285.3	23386/21751	2285.3	22569	3.3033	1.3363e+06	1.0372e+06	19.916	1	1.4868e-88	2.9737e-88	3.202e-85	True
BAK1__33547269__RVS__50	BAK1__33547269	2160.9	21531/21147	2160.9	21339	3.3031	73795	9.3839e+05	19.797	1	1.5917e-87	3.1834e-87	3.085e-84	True
SUPT20H_-_37633730.23-P1P2	SUPT20H__P1P2	1326.6	12749/12820	1326.6	12785	3.2676	2545	3.9211e+05	18.298	1	4.3675e-75	8.7349e-75	7.6955e-72	True
SUPT20H__P1P2__secondary__RVS__74	SUPT20H__P1P2	1150.4	10596/9799	1150.4	10197	3.1468	3.1718e+05	3.0392e+05	16.41	1	8.2256e-61	1.6451e-60	1.3286e-57	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	2070.3	17994/16404	2070.3	17199	3.0538	1.2643e+06	8.6911e+05	16.228	1	1.6198e-59	3.2396e-59	2.415e-56	True
SGK223__P1P2__secondary__FWD__74	SGK223__P1P2	1217.8	10921/10224	1217.8	10573	3.117	2.4314e+05	3.3647e+05	16.127	1	8.3297e-59	1.6659e-58	1.1095e-55	True
SUPT20H_+_37633763.23-P1P2	SUPT20H__P1P2	1295.5	10688/11675	1295.5	11181	3.1085	4.868e+05	3.7583e+05	16.126	1	8.5866e-59	1.7173e-58	1.1095e-55	True
SUPT20H_+_37633798.23-P1P2	SUPT20H__P1P2	1316.3	11892/10405	1316.3	11149	3.0814	1.1056e+06	3.8665e+05	15.812	1	1.3018e-56	2.6036e-56	1.577e-53	True
PMAIP1__57567020__FWD__0	PMAIP1__57567020	2111.7	18237/14968	2111.7	16602	2.9743	5.3423e+06	9.0049e+05	15.27	1	6.1039e-53	1.2208e-52	6.9592e-50	True
SUPT20H__P1P2__secondary__RVS__54	SUPT20H__P1P2	1235.9	10140/9933.1	1235.9	10037	3.0206	21444	3.4548e+05	14.973	1	5.6219e-51	1.1244e-50	6.0536e-48	True
SGK223__P1P2__secondary__FWD__72	SGK223__P1P2	1225.6	10049/8962.5	1225.6	9506	2.9544	5.9082e+05	3.4032e+05	14.194	1	5.0737e-46	1.0147e-45	5.1757e-43	True
PMAIP1__57567020__RVS__48	PMAIP1__57567020	1370.7	10364/9099.9	1370.7	9731.8	2.8269	7.9876e+05	4.1569e+05	12.968	1	9.4225e-39	1.8845e-38	9.1314e-36	True
SGK223_-_8243728.23-P1P2	SGK223__P1P2	1469.1	10650/9872.1	1469.1	10261	2.8033	3.0286e+05	4.7059e+05	12.817	1	6.7341e-38	1.3468e-37	6.2153e-35	True
SGK223__P1P2__secondary__FWD__69	SGK223__P1P2	1344.8	9490.8/9392.1	1344.8	9441.5	2.8107	4863.4	4.0175e+05	12.774	1	1.1633e-37	2.3265e-37	1.0248e-34	True
TADA2B__P1P2__secondary__FWD__9	TADA2B__P1P2	1368.1	9530.6/9488	1368.1	9509.3	2.7963	908.78	4.1429e+05	12.648	1	5.8003e-37	1.1601e-36	4.8879e-34	True
FUT7_+_139926157.23-P1P2	FUT7__P1P2	1155.6	8182.7/7829.6	1155.6	8006.1	2.7914	62330	3.0637e+05	12.376	1	1.785e-35	3.57e-35	1.4416e-32	True
NF2__29999349__FWD__97	NF2__29999349	1567.6	9959.4/10313	1567.6	10136	2.6921	62600	5.2848e+05	11.787	1	2.3155e-32	4.631e-32	1.7952e-29	True
SGK223__P1P2__secondary__FWD__73	SGK223__P1P2	1404.4	9155.7/9067	1404.4	9111.3	2.6969	3926.9	4.3414e+05	11.697	1	6.7204e-32	1.3441e-31	5.0098e-29	True
SUFU__104263513__FWD__29	SUFU__104263513	1202.3	7393.4/7051.3	1202.3	7222.4	2.5857	58509	3.2883e+05	10.498	1	4.479e-26	8.958e-26	3.2153e-23	True
SUFU__104263513__RVS__57	SUFU__104263513	1660.9	9741.5/9087.8	1660.9	9414.7	2.5023	2.1367e+05	5.8603e+05	10.129	1	2.0918e-24	4.1836e-24	1.448e-21	True
