id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SMN2__ENST00000380743.4	5	6.9167e-16	2.4115e-07	8e-06	1	5	-5.8289	1.0	1.0	1.0	20527	0	0
SMN1__ENST00000380707.4	5	6.9167e-16	2.4115e-07	8e-06	2	5	-5.8289	1.0	1.0	1.0	20528	0	0
GEMIN2__P1P2	5	2.819e-12	2.4115e-07	8e-06	3	5	-6.5383	1.0	1.0	1.0	20521	0	0
LSM6__P1P2	5	4.658e-12	2.4115e-07	8e-06	4	5	-6.6621	1.0	1.0	1.0	20526	0	0
DKC1__P1P2	5	3.7186e-11	2.4115e-07	8e-06	5	5	-5.1626	1.0	1.0	1.0	20503	0	0
NOP10__P1P2	5	4.8135e-11	2.4115e-07	8e-06	6	5	-4.5451	1.0	1.0	1.0	20333	0	0
NUTM1__P1P2	5	4.8135e-11	2.4115e-07	8e-06	7	5	-4.5451	1.0	1.0	1.0	20332	0	0
MED18__P1P2	5	5.0401e-11	2.4115e-07	8e-06	8	5	-6.2344	1.0	1.0	1.0	20525	0	0
SRP19__P1P2	5	7.488e-11	2.4115e-07	8e-06	9	5	-4.3926	0.9999	1.0	1.0	20143	0	0
NOP2__P1P2	5	8.3611e-11	2.4115e-07	8e-06	10	5	-5.7936	1.0	1.0	1.0	20524	0	0
INTS2__P1P2	5	9.0908e-11	2.4115e-07	8e-06	11	5	-7.1583	1.0	1.0	1.0	20523	0	0
MED30__P1P2	5	9.6358e-11	2.4115e-07	8e-06	12	5	-5.7846	1.0	1.0	1.0	20522	0	0
FBL__P1P2	5	2.4175e-10	2.4115e-07	8e-06	13	5	-5.4101	1.0	1.0	1.0	20463	0	0
TAF1B__P1P2	5	2.6726e-10	2.4115e-07	8e-06	14	5	-3.7206	0.99998	1.0	1.0	20235	0	0
ZC3H8__P1P2	5	6.1159e-10	2.4115e-07	8e-06	15	4	-7.0289	0.946	0.9672	1.0	18518	0	0
RCL1__P1P2	5	9.3106e-10	2.4115e-07	8e-06	16	5	-6.1218	1.0	1.0	1.0	20520	0	0
RTF1__P1P2	5	1.202e-09	2.4115e-07	8e-06	17	5	-3.9522	0.99983	1.0	1.0	20103	0	0
SNRNP27__P1P2	5	1.3611e-09	2.4115e-07	8e-06	18	4	-7.0948	0.97008	0.98553	1.0	19090	0	0
RBMX2__P1P2	5	1.7262e-09	2.4115e-07	8e-06	19	5	-3.9885	1.0	1.0	1.0	20408	0	0
DMAP1__P1P2	5	1.9194e-09	2.4115e-07	8e-06	20	5	-4.4267	1.0	1.0	1.0	20519	0	0
SNIP1__P1P2	5	2.9555e-09	2.4115e-07	8e-06	21	5	-4.5669	1.0	1.0	1.0	20518	0	0
C12orf45__P1P2	5	3.2429e-09	2.4115e-07	8e-06	22	5	-6.429	1.0	1.0	1.0	20513	0	0
RPS10-NUDT3__P1P2	5	3.2799e-09	2.4115e-07	8e-06	23	4	-4.3821	0.51913	0.57028	1.0	10747	1	0.45201
RPS10__P1P2	5	3.2799e-09	2.4115e-07	8e-06	24	4	-4.3821	0.51913	0.57028	1.0	10748	1	0.45201
RPAP1__P1P2	5	3.6277e-09	2.4115e-07	8e-06	25	3	-6.4867	0.66771	0.70674	1.0	12995	1	0.36891
DDX23__P1P2	5	5.0448e-09	2.4115e-07	8e-06	26	5	-5.1526	1.0	1.0	1.0	20517	0	0
RPA3__P1P2	5	5.3728e-09	2.4115e-07	8e-06	27	5	-4.4379	1.0	1.0	1.0	20516	0	0
RRP9__P1P2	5	5.407e-09	2.4115e-07	8e-06	28	5	-4.4048	1.0	1.0	1.0	20456	0	0
ATR__P1P2	5	5.6691e-09	2.4115e-07	8e-06	29	5	-4.9362	1.0	1.0	1.0	20515	0	0
COPS4__P1P2	5	6.4888e-09	2.4115e-07	8e-06	30	4	-4.629	0.86152	0.88897	1.0	16788	0	0
HSD17B10__P1P2	5	6.9163e-09	2.4115e-07	8e-06	31	5	-5.9202	1.0	1.0	1.0	20514	0	0
GEMIN5__P1P2	5	6.9989e-09	2.4115e-07	8e-06	32	5	-6.094	1.0	1.0	1.0	20486	0	0
POLR1E__P1P2	5	7.6403e-09	2.4115e-07	8e-06	33	5	-5.2284	1.0	1.0	1.0	20512	0	0
NDUFS5__P1	5	8.5071e-09	2.4115e-07	8e-06	34	5	-5.8247	1.0	1.0	1.0	20511	0	0
KANSL3__P1P2	5	8.7442e-09	2.4115e-07	8e-06	35	5	-5.8113	1.0	1.0	1.0	20510	0	0
ANAPC4__P1P2	5	9.0744e-09	2.4115e-07	8e-06	36	5	-4.7204	1.0	1.0	1.0	20509	0	0
DDX56__P1P2	5	9.288e-09	2.4115e-07	8e-06	37	5	-4.3097	1.0	1.0	1.0	20508	0	0
RPS24__P1P2	5	1.0183e-08	2.4115e-07	8e-06	38	5	-5.5633	1.0	1.0	1.0	20507	0	0
VARS2__P1P2	5	1.2958e-08	2.4115e-07	8e-06	39	5	-4.6573	1.0	1.0	1.0	20506	0	0
DBR1__P1P2	5	1.3124e-08	2.4115e-07	8e-06	40	5	-3.6907	1.0	1.0	1.0	20461	0	0
HSD17B12__P1P2	5	1.3147e-08	2.4115e-07	8e-06	41	5	-5.1556	1.0	1.0	1.0	20505	0	0
ZNHIT6__P1P2	5	1.3338e-08	2.4115e-07	8e-06	42	5	-6.1367	1.0	1.0	1.0	20504	0	0
MBTPS2__P1P2	5	1.4505e-08	2.4115e-07	8e-06	43	5	-5.2863	1.0	1.0	1.0	20502	0	0
NDUFAF1__P1P2	5	1.5052e-08	2.4115e-07	8e-06	44	5	-5.1251	1.0	1.0	1.0	20501	0	0
CDC16__P1P2	5	1.5643e-08	2.4115e-07	8e-06	45	5	-5.1891	1.0	1.0	1.0	20500	0	0
FAM96B__P1P2	5	1.589e-08	2.4115e-07	8e-06	46	5	-5.4517	1.0	1.0	1.0	20499	0	0
SRSF1__P1P2	5	1.6654e-08	2.4115e-07	8e-06	47	4	-5.7444	0.97423	0.98893	1.0	19186	0	0
