"sgID","gene_TSS","cell_line","species","time_point","Residuals"
"AATF_-_35306340.23-P1P2","AATF__P1P2",0.691348086367395,2.54353407926396e-09,0.132856138774837,0.175795772314234
"AATF_-_35306346.23-P1P2","AATF__P1P2",0.285689526634906,0,0.344996384753922,0.369314088611172
"AATF_-_35306333.23-P1P2","AATF__P1P2",0.620659256115764,0.0306729771637097,0.160944976065822,0.187722790654705
"AATF_-_35306312.23-P1P2","AATF__P1P2",0.809524664058357,0.0568249955557,0,0.133650340385943
"AATF__P1P2__secondary__FWD__35","AATF__P1P2",0.112193933906372,6.47153941385458e-11,0.714829275374578,0.172976790654334
"AATF__P1P2__secondary__FWD__50","AATF__P1P2",0.109625185246355,0,0.673258935536165,0.21711587921748
"AATF__P1P2__secondary__FWD__53","AATF__P1P2",0.0542344708416547,2.22593188347684e-09,0.724793606177846,0.220971920754568
"AATF__P1P2__secondary__FWD__55","AATF__P1P2",0.127268036498631,0,0.71621194221888,0.156520021282489
"ABCB10__P1P2__primary__RVS__7","ABCB10__P1P2",0.0812826102718688,0.0870895382296818,0.0998788640018319,0.731748987496618
"ABCB10_+_229694285.23-P1P2","ABCB10__P1P2",0.0162916081522572,0.054352286936548,0.835108622168391,0.0942474827428038
"ABCB10__P1P2__primary__FWD__3","ABCB10__P1P2",0.322340982313827,1.50444168470657e-10,0,0.677659017535729
"ABCB10__P1P2__primary__RVS__1","ABCB10__P1P2",0.0380348077524173,0,0.0103095846794628,0.95165560756812
"ABCB10__P1P2__primary__FWD__50","ABCB10__P1P2",0,0,0.157713601601059,0.84228639839894
"ABCB10__P1P2__primary__FWD__49","ABCB10__P1P2",0.160951634673187,4.59513892504218e-09,0.122726444955191,0.716321915776484
"ABCB10__P1P2__primary__FWD__86","ABCB10__P1P2",0.0931686643160823,0,0.0211959221467042,0.885635413537214
"ABCB10__P1P2__primary__RVS__41","ABCB10__P1P2",0.238308089276903,0.082516410274877,0.0858088660931664,0.593366634355053
"ABHD16A_-_31670764.23-P1P2","ABHD16A__P1P2",0.260994609551949,0.022322629367118,0.223830897626388,0.492851863454545
"ABHD16A_-_31670679.23-P1P2","ABHD16A__P1P2",0.109902912006587,1.26847190256196e-09,0.306596646438103,0.583500440286838
"ABHD16A_+_31671120.23-P1P2","ABHD16A__P1P2",0.129526601273927,1.47016853755637e-10,0.216309482371543,0.654163916207513
"ABHD16A_-_31670671.23-P1P2","ABHD16A__P1P2",0.192156572531884,0,0.412935595335787,0.394907832132329
"ABHD16A__31670342__RVS__98","ABHD16A__P1P2",0,0.0428378178743354,0.145551774798216,0.811610407327448
"ABHD16A__31670342__RVS__92","ABHD16A__P1P2",0,0.0394442657718206,0.801033321725342,0.159522412502837
"ABHD16A__31670342__FWD__80","ABHD16A__P1P2",0.214656254109332,1.22318398125512e-10,0.314139108451401,0.471204637316948
"ABHD16A__31670342__FWD__26","ABHD16A__P1P2",0.137959882584262,0,0.0660571496238417,0.795982967791896
"ACAD11_-_132378623.23-P1P2","ACAD11__P1P2",0.0732444729770868,0.274954688274397,0.261263753798665,0.390537084949851
"ACAD11_-_132378633.23-P1P2","ACAD11__P1P2",0.157628820957663,0.253329365206114,0.171341599147756,0.417700214688467
"ACAD11_-_132379444.23-P1P2","ACAD11__P1P2",0.239888010141494,0.202626889659929,0.129062770323926,0.42842232987465
"ACAD11_+_132378312.23-P1P2","ACAD11__P1P2",0.193058846856671,0.218620611468499,0.170255849699391,0.418064691975439
"ACAD11_+_132379379.23-P1P2","ACAD11__P1P2",0.202451496169574,0.245061298059781,0.145347119412821,0.407140086357824
"ACAD11__P1P2__primary__FWD__56","ACAD11__P1P2",0.130552213930704,0,0.0737812670002534,0.795666519069042
"ACAD11__P1P2__primary__FWD__65","ACAD11__P1P2",0.295947648379259,0,0.0837789768038274,0.620273374816914
"ACAD11__P1P2__primary__FWD__66","ACAD11__P1P2",0.105555070206972,9.67529384402879e-11,0,0.894444929696275
"ACADS__P1P2__primary__RVS__-24","ACADS__P1P2",0.0212611636783221,0.0733901780781156,0.143638538160301,0.761710120083261
"ACADS_+_121164090.23-P1P2","ACADS__P1P2",0.287374982573757,0.0172762901817142,8.74389293899171e-08,0.6953486398056
"ACADS__P1P2__primary__RVS__0","ACADS__P1P2",0.268556537729007,6.57667465472947e-05,0.0300871015234196,0.701290594001027
"ACADS__P1P2__primary__RVS__86","ACADS__P1P2",0.379323623321845,0,6.4988153071367e-09,0.62067637017934
"ACADS__P1P2__primary__FWD__90","ACADS__P1P2",0.373495792318345,1.30397959858991e-10,0.0755734360608296,0.550930771490428
"ACADS__P1P2__primary__RVS__225","ACADS__P1P2",0,0,0,1
"ACADS__P1P2__primary__RVS__240","ACADS__P1P2",0,0,0.0285642676170836,0.971435732382916
"ACADS__P1P2__primary__FWD__232","ACADS__P1P2",0.0484960626850661,0,0,0.951503937314934
"ACAT2_+_160183436.23-P1P2","ACAT2__P1P2",0.0783327993305844,0.173818621449414,0.19374232837095,0.554106250849052
"ACAT2_+_160183505.23-P1P2","ACAT2__P1P2",0.0960306902485702,0.15822263044344,0.252500593697887,0.493246085610104
"ACAT2_-_160183095.23-P1P2","ACAT2__P1P2",0.122999366647106,0.126372561006604,0.439663578264467,0.310964494081823
"ACAT2_-_160183174.23-P1P2","ACAT2__P1P2",0.0923841845627632,0.11338368420527,0.470033978083946,0.324198153148021
"ACAT2__P1P2__secondary__FWD__36","ACAT2__P1P2",1.28323160760482e-10,0.145624718133366,0.365965997029844,0.488409284708467
"ACAT2__P1P2__secondary__FWD__41","ACAT2__P1P2",0,0.316119241337452,0.346950033883423,0.336930724779126
"ACAT2__P1P2__secondary__FWD__62","ACAT2__P1P2",5.46526523928441e-11,0.229535884065131,0.355337043771392,0.415127072108824
"ACAT2__P1P2__primary__FWD__72","ACAT2__P1P2",0.0468554631998913,0.120177663296505,0.454834197953051,0.378132675550552
"ACLY_-_40074817.23-P1P2","ACLY__P1P2",0.36691437289453,1.56514659310641e-10,0.204980329779019,0.428105297169937
"ACLY_-_40075227.23-P1P2","ACLY__P1P2",0,2.56510817568264e-11,0.77625954595003,0.223740454024319
"ACLY_+_40075121.23-P1P2","ACLY__P1P2",0,1.62361794571076e-10,0.540690611413386,0.459309388424252
"ACLY_-_40075090.23-P1P2","ACLY__P1P2",0.0324022712480713,0.00586494229196318,0.466620932344943,0.495111854115023
