"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AATF_-_35306340.23-P1P2","AATF__P1P2",761.032099764327,-1.97111110570795,0.44937175622088,-4.3863707018095,1.15257625879298e-05,6.27340973237347e-05
"AATF_-_35306346.23-P1P2","AATF__P1P2",367.084105977314,-3.53956868148451,0.476725660185773,-7.42474965602899,1.1299342487007e-13,2.26524913668092e-12
"AATF_-_35306333.23-P1P2","AATF__P1P2",465.92248200506,-2.08728977992746,0.551988468329551,-3.78140106122887,0.000155948200261255,0.000715661811909826
"AATF_-_35306312.23-P1P2","AATF__P1P2",1026.76641935591,-3.95445925946892,0.511024948598099,-7.73829001953277,1.0076279275697e-14,2.42707990613369e-13
"AATF__P1P2__secondary__FWD__35","AATF__P1P2",538.389837158762,-2.5060489595225,0.368500991848109,-6.80065729797399,1.04142891333435e-11,1.54428118955842e-10
"AATF__P1P2__secondary__FWD__50","AATF__P1P2",568.290460104331,-3.02923135934652,0.407698832370963,-7.43007121636844,1.08539225455398e-13,2.1850006654566e-12
"AATF__P1P2__secondary__FWD__53","AATF__P1P2",596.193526431055,-2.53251070497268,0.376750230112956,-6.7219884755303,1.79261134875711e-11,2.57534950890432e-10
"AATF__P1P2__secondary__FWD__55","AATF__P1P2",769.940215715942,-2.20198336018744,0.386023556485965,-5.70427198856062,1.1684138058383e-08,1.02580054006926e-07
"ABCB10__P1P2__primary__RVS__7","ABCB10__P1P2",2204.27206094187,0.157626061916355,0.0921528266636642,1.71048537112868,0.0871761563006303,0.194678671923202
"ABCB10_+_229694285.23-P1P2","ABCB10__P1P2",548.097253279817,-3.93103190104088,0.475093731275426,-8.27422388943699,1.29295013494649e-16,4.012703896374e-15
"ABCB10__P1P2__primary__FWD__3","ABCB10__P1P2",3217.38057478175,0.211012989321577,0.113490510349092,1.85930073512323,0.0629845228638139,0.149773854344379
"ABCB10__P1P2__primary__RVS__1","ABCB10__P1P2",2288.7663273083,0.0354792897147832,0.104943605550613,0.338079576441387,0.735303220964782,0.848366764315082
"ABCB10__P1P2__primary__FWD__50","ABCB10__P1P2",2376.50552476266,0.230776294770093,0.135585257829443,1.70207512575146,0.0887412861444136,0.197263974686951
"ABCB10__P1P2__primary__FWD__49","ABCB10__P1P2",2143.03756441589,0.119873647133038,0.100888159377876,1.18818350807701,0.234761119659515,0.40362072472711
"ABCB10__P1P2__primary__FWD__86","ABCB10__P1P2",2462.53799160403,0.0835497776099342,0.105635026482014,0.790928732565426,0.428985580492264,0.606403996482715
"ABCB10__P1P2__primary__RVS__41","ABCB10__P1P2",2079.78198764682,0.1237082323307,0.110363011649457,1.12092113545823,0.262321433460627,0.43598848074347
"ABHD16A_-_31670764.23-P1P2","ABHD16A__P1P2",2341.48359978226,-1.10194339217774,0.165702122406145,-6.65014651699398,2.92801395964655e-11,4.05607427342741e-10
"ABHD16A_-_31670679.23-P1P2","ABHD16A__P1P2",1717.10682793193,-0.415021495449727,0.211102162790807,-1.96597462557025,0.0493015417691506,0.122942783659718
"ABHD16A_+_31671120.23-P1P2","ABHD16A__P1P2",2218.8952975704,-1.09660980705336,0.189952023703225,-5.77308830763853,7.78316242334738e-09,7.03025762549185e-08
"ABHD16A_-_31670671.23-P1P2","ABHD16A__P1P2",2311.94635912899,-0.557215114401493,0.130059412400281,-4.2843121010463,1.83305447759333e-05,9.62030704961314e-05
"ABHD16A__31670342__RVS__98","ABHD16A__P1P2",2676.21664273243,-0.0933115124139003,0.167639510701393,-0.556620047526332,0.577787053628303,0.731309897298709
"ABHD16A__31670342__RVS__92","ABHD16A__P1P2",849.452150551438,-2.10734726526352,0.469112876708626,-4.49219659040064,7.04923058294274e-06,3.97772142975726e-05
"ABHD16A__31670342__FWD__80","ABHD16A__P1P2",1485.34466028431,-1.62264438751117,0.270304202264833,-6.00303056302974,1.93668145046548e-09,1.96571137157833e-08
"ABHD16A__31670342__FWD__26","ABHD16A__P1P2",2263.18872763637,-0.119899766219964,0.0946426010977579,-1.26686888176411,0.20520217718374,0.366938630040656
"ACAD11_-_132378623.23-P1P2","ACAD11__P1P2",1821.94991183643,-0.0479087009691925,0.149206534497455,-0.32108983115622,0.748142316206728,0.857106252701106
"ACAD11_-_132378633.23-P1P2","ACAD11__P1P2",2845.450179194,0.0803323888751927,0.129891352720913,0.618458328383078,0.536273258909165,0.69901953677256
