group_id	items_in_group	lo_value	p	FDR	goodsgrna
PIGY__P1P2	8	5.3800e-12	5.1389e-07	0.000002	8
NKRF__P1P2	8	8.1266e-12	5.1389e-07	0.000002	8
DCP2__P1P2	8	1.0554e-09	5.1389e-07	0.000002	8
ANAPC13__P1P2	8	1.0554e-09	5.1389e-07	0.000002	8
ILK__P1P2	8	1.0652e-09	5.1389e-07	0.000002	7
FDX1__P1P2	8	1.1995e-09	5.1389e-07	0.000002	8
MYSM1__P1P2	8	1.4988e-09	5.1389e-07	0.000002	8
NDUFS8__P1P2	8	1.5387e-09	5.1389e-07	0.000002	8
CYP51A1__P1P2	8	3.3831e-08	5.1389e-07	0.000002	8
MLF1IP__P1P2	8	5.5871e-08	5.1389e-07	0.000002	8
PAN2__P1P2	8	6.9176e-08	5.1389e-07	0.000002	8
BTAF1__P1P2	8	9.1684e-08	5.1389e-07	0.000002	7
TMEM68__P1P2	8	9.1684e-08	5.1389e-07	0.000002	7
HUS1__P1P2	8	9.1684e-08	5.1389e-07	0.000002	7
DDX10__P1P2	8	9.3134e-08	5.1389e-07	0.000002	7
PRKDC__P1P2	8	9.4602e-08	5.1389e-07	0.000002	7
CENPF__P1P2	8	9.4602e-08	5.1389e-07	0.000002	6
MAD2L1BP__P1P2	8	1.0954e-07	5.1389e-07	0.000002	7
USMG5__P1P2	8	1.2085e-07	5.1389e-07	0.000002	6
MINOS1-NBL1__P1P2	8	1.3865e-07	5.1389e-07	0.000002	8
FAM64A__P1P2	8	2.0686e-07	5.1389e-07	0.000002	8
CTNND1__P1P2	8	2.6141e-07	5.1389e-07	0.000002	8
RPS14__P1P2	8	2.9712e-07	5.1389e-07	0.000002	8
BAD__P1P2	8	3.7265e-07	5.1389e-07	0.000002	8
KIFAP3__P1P2	8	6.2473e-07	5.1389e-07	0.000002	7
BAK1__33547269	8	6.3535e-07	5.1389e-07	0.000002	8
PPM1G__P1	8	7.4963e-07	5.1389e-07	0.000002	8
RPL34__P1P2	8	8.0546e-07	5.1389e-07	0.000002	8
ZNF532__P1	8	9.1534e-07	5.1389e-07	0.000002	8
PDSS1__P1P2	11	1.3378e-06	5.1389e-07	0.000002	10
FNBP4__P1P2	8	1.3379e-06	5.1389e-07	0.000002	7
PDS5B__P1P2	8	1.4836e-06	5.1389e-07	0.000002	8
AATF__P1P2	7	1.9604e-06	5.1389e-07	0.000002	7
INPPL1__P1P2	8	2.0575e-06	5.1389e-07	0.000002	8
KIRREL__P1P2	8	2.2719e-06	5.1389e-07	0.000002	8
RNF8__P1P2	8	2.6874e-06	5.1389e-07	0.000002	8
CDK2__P1P2	8	2.9102e-06	5.1389e-07	0.000002	8
IFT57__P1P2	8	2.9579e-06	5.1389e-07	0.000002	8
PARL__P1P2	8	3.1862e-06	5.1389e-07	0.000002	7
RPS13__P1P2	8	3.4217e-06	5.1389e-07	0.000002	7
C1QTNF9B-AS1__P1P2	8	3.7216e-06	5.1389e-07	0.000002	6
CEP63__P1P2	8	4.5612e-06	5.1389e-07	0.000002	6
MBIP__P1P2	8	4.5612e-06	5.1389e-07	0.000002	5
ANKRA2__P1P2	8	4.5612e-06	5.1389e-07	0.000002	6
KIAA0020__P1	8	4.5612e-06	5.1389e-07	0.000002	6
NRBP1__P1P2	8	4.5612e-06	5.1389e-07	0.000002	6
ORC5__P1P2	8	4.5612e-06	5.1389e-07	0.000002	5
LIMS1__P1P2	8	4.5612e-06	5.1389e-07	0.000002	8
TRIP13__P1P2	8	4.5908e-06	5.1389e-07	0.000002	5
SGK223__P1P2	8	4.6207e-06	5.1389e-07	0.000002	7
EAF1__P1P2	8	5.0226e-06	5.1389e-07	0.000002	7
WDR89__P1P2	8	5.3838e-06	5.1389e-07	0.000002	7
NDUFAF6__P1P2	8	6.0931e-06	5.1389e-07	0.000002	7
SUPT20H__P1P2	8	6.4781e-06	5.1389e-07	0.000002	7
DBF4__P1P2	8	1.1013e-05	5.1389e-07	0.000002	7
IFT52__P1P2	8	1.1908e-05	5.1389e-07	0.000002	7
TULP3__P2	8	1.2307e-05	5.1389e-07	0.000002	7
PTPN14__P1P2	8	1.8366e-05	5.1389e-07	0.000002	7
IFT172__P1P2	8	1.8775e-05	5.1389e-07	0.000002	7
RNF168__P1P2	8	2.0402e-05	5.1389e-07	0.000002	7
GPR137__P2	8	2.7130e-05	5.1389e-07	0.000002	7
MUT__P1P2	11	2.9405e-05	5.1389e-07	0.000002	8
MIEF1__P1P2	8	3.6663e-05	5.1389e-07	0.000002	7
LIAS__P1P2	8	3.9184e-05	5.1389e-07	0.000002	6
PHF6__P1P2	8	4.2906e-05	5.1389e-07	0.000002	7
KATNA1__P1P2	8	4.5382e-05	5.1389e-07	0.000002	7
UBE2C__P1P2	8	4.8061e-05	5.1389e-07	0.000002	6
CYLD__P1P2	8	5.1959e-05	5.1389e-07	0.000002	7
RPL36A__P1P2	8	5.5036e-05	5.1389e-07	0.000002	6
CSNK2A1__P1P2	8	5.6613e-05	5.1389e-07	0.000002	6
BUB1__P1P2	8	5.7486e-05	5.1389e-07	0.000002	7
CSPP1__P1P2	8	6.0544e-05	5.1389e-07	0.000002	7
IPO7__P1P2	8	6.0795e-05	5.1389e-07	0.000002	6
NEK2__P1P2	8	6.1442e-05	5.1389e-07	0.000002	7
CMC1__P1P2	8	6.4739e-05	5.1389e-07	0.000002	6
KDM5C__P1P2	8	6.8212e-05	5.1389e-07	0.000002	6
TSPYL1__P1P2	8	8.8804e-05	5.1389e-07	0.000002	7
RNF146__P1P2	8	8.9835e-05	5.1389e-07	0.000002	7
AUNIP__P1P2	8	9.5821e-05	5.1389e-07	0.000002	7
RBM5__P1P2	8	9.9503e-05	5.1389e-07	0.000002	7
DUSP12__P1P2	8	1.0641e-04	5.1389e-07	0.000002	6
SPTLC2__P1P2	8	1.1053e-04	5.1389e-07	0.000002	7
VWA9__P1P2	8	1.1324e-04	5.1389e-07	0.000002	5
FGD1__P1P2	8	1.1411e-04	5.1389e-07	0.000002	7
UQCRC2__P1P2	11	1.1888e-04	5.1389e-07	0.000002	7
MNT__P1P2	8	1.2136e-04	5.1389e-07	0.000002	7
CHTF18__P1P2	8	1.3575e-04	5.1389e-07	0.000002	6
BTBD9__P1P2	8	1.3748e-04	5.1389e-07	0.000002	7
TIMM17B__P1P2	8	1.4232e-04	5.1389e-07	0.000002	6
CCDC130__P1	8	1.4232e-04	5.1389e-07	0.000002	5
MOSPD2__P1P2	8	1.4232e-04	5.1389e-07	0.000002	6
C7orf26__P1P2	8	1.4232e-04	5.1389e-07	0.000002	5
DROSHA__31531421	8	1.4232e-04	5.1389e-07	0.000002	6
CDC26__P1P2	8	1.4232e-04	5.1389e-07	0.000002	6
NAA15__P1P2	8	1.4232e-04	5.1389e-07	0.000002	4
DICER1__P1P2	8	1.4305e-04	5.1389e-07	0.000002	5
SMN2__69345238	8	1.4379e-04	5.1389e-07	0.000002	4
NRF1__P1P2	8	1.4452e-04	5.1389e-07	0.000002	5
GTF2H2__ENST00000274400.5_ENST00000330280.7	8	1.4452e-04	5.1389e-07	0.000002	5
SUFU__104263513	8	1.4480e-04	5.1389e-07	0.000002	7
U2SURP__P1P2	8	1.4601e-04	5.1389e-07	0.000002	6
