group_id	items_in_group	lo_value	p	FDR	goodsgrna
PAN2__P1P2	8	4.7215e-17	5.1389e-07	0.000009	7
ATP6AP1__P1P2	8	9.4931e-15	5.1389e-07	0.000009	8
NKRF__P1P2	8	5.0018e-11	5.1389e-07	0.000009	8
CCNE1__P1P2	8	1.7004e-10	5.1389e-07	0.000009	8
CDK2__P1P2	8	3.5433e-10	5.1389e-07	0.000009	8
PAN3__P1P2	8	7.8016e-10	5.1389e-07	0.000009	7
CSDE1__P1P2	8	8.8583e-09	5.1389e-07	0.000009	7
DCP2__P1P2	8	9.3114e-09	5.1389e-07	0.000009	8
SOX4__P1	8	9.5467e-09	5.1389e-07	0.000009	8
MNT__P1P2	8	1.0981e-08	5.1389e-07	0.000009	8
DDRGK1__P1P2	8	8.0744e-08	5.1389e-07	0.000009	6
PIGY__P1P2	8	1.7603e-07	5.1389e-07	0.000009	7
TMEM68__P1P2	8	2.2045e-07	5.1389e-07	0.000009	5
KAT6A__P1P2	8	2.2574e-07	5.1389e-07	0.000009	6
UBA5__P1P2	8	2.4281e-07	5.1389e-07	0.000009	7
KATNA1__P1P2	8	5.9570e-07	5.1389e-07	0.000009	7
FZR1__P1P2	8	6.6908e-07	5.1389e-07	0.000009	7
EHBP1__P1P2	8	7.3364e-07	5.1389e-07	0.000009	6
ACAT2__P1P2	8	7.6126e-07	5.1389e-07	0.000009	7
CSNK2A1__P1P2	8	9.1297e-07	5.1389e-07	0.000009	7
CWC25__P1P2	8	1.1807e-06	5.1389e-07	0.000009	7
DCPS__P1P2	8	1.2205e-06	5.1389e-07	0.000009	7
RBM5__P1P2	8	1.6399e-06	5.1389e-07	0.000009	5
DHX35__P1P2	8	1.7617e-06	5.1389e-07	0.000009	6
PCGF1__P1P2	8	2.2208e-06	5.1389e-07	0.000009	6
ANLN__P1P2	8	2.7988e-06	5.1389e-07	0.000009	6
SAP30__P1P2	8	2.9485e-06	5.1389e-07	0.000009	6
EAF1__P1P2	8	3.4929e-06	5.1389e-07	0.000009	5
ZMIZ1__P1P2	11	1.4329e-05	5.1389e-07	0.000009	7
PHF8__P1P2	11	1.8447e-05	5.1389e-07	0.000009	7
CBLL1__P1P2	8	2.1071e-05	5.1389e-07	0.000009	5
FAM122A__P1P2	8	2.4159e-05	5.1389e-07	0.000009	4
CCDC130__P1	8	3.1158e-05	5.1389e-07	0.000009	4
HMGCS1__P1P2	8	3.1251e-05	5.1389e-07	0.000009	6
UBE2G2__P1P2	8	3.9940e-05	5.1389e-07	0.000009	6
HSPA13__P1P2	8	4.2511e-05	5.1389e-07	0.000009	6
TM9SF2__P1P2	8	4.4212e-05	5.1389e-07	0.000009	5
BRPF1__P1P2	8	4.8827e-05	5.1389e-07	0.000009	6
