"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AATF_-_35306340.23-P1P2","AATF__P1P2",761.032099764327,-1.61543574613539,0.388986797011147,-4.1529320751961,3.28242193433199e-05,0.000118640132848588
"AATF_-_35306346.23-P1P2","AATF__P1P2",367.084105977314,-2.14963412507371,0.410143854944388,-5.24117111388925,1.59560664063619e-07,8.37884388731077e-07
"AATF_-_35306333.23-P1P2","AATF__P1P2",465.92248200506,-2.5625492141592,0.479159907171112,-5.34800423785058,8.89293837665507e-08,4.86498996051701e-07
"AATF_-_35306312.23-P1P2","AATF__P1P2",1026.76641935591,-0.687157047665906,0.439108509837641,-1.56489121087628,0.117608419874084,0.169843747895713
"AATF__P1P2__secondary__FWD__35","AATF__P1P2",538.389837158762,-2.24661888662956,0.31834386768474,-7.0572079901172,1.69881257132998e-12,1.76547379309028e-11
"AATF__P1P2__secondary__FWD__50","AATF__P1P2",568.290460104331,-2.08685000806098,0.352018229257067,-5.92824414935916,3.06191017324723e-09,2.04472249707261e-08
"AATF__P1P2__secondary__FWD__53","AATF__P1P2",596.193526431055,-2.06357454675083,0.32576847465669,-6.33448202416002,2.38139930852717e-10,1.882374653426e-09
"AATF__P1P2__secondary__FWD__55","AATF__P1P2",769.940215715942,-2.17697203019881,0.334082187680677,-6.51627686382253,7.2073892045014e-11,6.15176433806312e-10
"ABCB10__P1P2__primary__RVS__7","ABCB10__P1P2",2204.27206094187,0.137507794296561,0.0794562459666879,1.73061025755246,0.0835213009523028,0.128713546147508
"ABCB10_+_229694285.23-P1P2","ABCB10__P1P2",548.097253279817,-3.29308912418256,0.411271771427424,-8.00708765581712,1.17456773615766e-15,1.83145561823102e-14
"ABCB10__P1P2__primary__FWD__3","ABCB10__P1P2",3217.38057478175,0.0384134440019846,0.0981387195908029,0.391419861214335,0.695486913925484,0.743885981170933
"ABCB10__P1P2__primary__RVS__1","ABCB10__P1P2",2288.7663273083,0.184864472527534,0.0906305065128484,2.03975989587266,0.041374246002869,0.072224053370431
"ABCB10__P1P2__primary__FWD__50","ABCB10__P1P2",2376.50552476266,0.260443988677625,0.117211053037562,2.22200877756948,0.0262827124121984,0.0496673505634888
"ABCB10__P1P2__primary__FWD__49","ABCB10__P1P2",2143.03756441589,0.181427457297173,0.0870040810247572,2.08527525560034,0.0370443221867185,0.0659011890012852
"ABCB10__P1P2__primary__FWD__86","ABCB10__P1P2",2462.53799160403,0.137687749061922,0.0911902315015105,1.50989581663296,0.131070010311688,0.186393142876791
"ABCB10__P1P2__primary__RVS__41","ABCB10__P1P2",2079.78198764682,0.194678314115422,0.0951720965044402,2.04553983011543,0.0408016666022634,0.0713918571936604
"ABHD16A_-_31670764.23-P1P2","ABHD16A__P1P2",2341.48359978226,-0.375256162615633,0.143219529845339,-2.62014658909205,0.00878919773186199,0.0194572020204892
"ABHD16A_-_31670679.23-P1P2","ABHD16A__P1P2",1717.10682793193,-0.608673854108394,0.182729167531658,-3.33101640165323,0.000865295038676316,0.00244846635286463
"ABHD16A_+_31671120.23-P1P2","ABHD16A__P1P2",2218.8952975704,-0.398530926005881,0.164295690486431,-2.42569311967921,0.015279184133938,0.0312127299512492
"ABHD16A_-_31670671.23-P1P2","ABHD16A__P1P2",2311.94635912899,-0.53259126988654,0.112453620091109,-4.73609715236412,2.1787317566338e-06,9.53736871586126e-06
"ABHD16A__31670342__RVS__98","ABHD16A__P1P2",2676.21664273243,-0.483576103094653,0.145109426485633,-3.3324926905595,0.000860717313864151,0.00243765011703614
"ABHD16A__31670342__RVS__92","ABHD16A__P1P2",849.452150551438,-2.93180053726857,0.406597358858747,-7.21057447470307,5.57163135278133e-13,6.1940420653251e-12
"ABHD16A__31670342__FWD__80","ABHD16A__P1P2",1485.34466028431,-0.780066481452094,0.233780340601041,-3.33674970036647,0.000847642480051632,0.00240272896204331
"ABHD16A__31670342__FWD__26","ABHD16A__P1P2",2263.18872763637,-0.193036064854206,0.0817511324278312,-2.36126472039535,0.0182127246276052,0.0363166829837522
"ACAD11_-_132378623.23-P1P2","ACAD11__P1P2",1821.94991183643,-0.787941008017874,0.129186329657973,-6.09925996120475,1.06560647904425e-09,7.62621399599816e-09
"ACAD11_-_132378633.23-P1P2","ACAD11__P1P2",2845.450179194,-0.861131067653116,0.112503392560064,-7.65426755636167,1.94417124146326e-14,2.61250519488781e-13
"ACAD11_-_132379444.23-P1P2","ACAD11__P1P2",1808.90339600831,-1.68536014675925,0.168265706615166,-10.0160643583411,1.29559748399875e-23,5.09970342990241e-22
"ACAD11_+_132378312.23-P1P2","ACAD11__P1P2",2069.34414032287,-0.526207559228605,0.0975289259712043,-5.39539991841979,6.83710945770607e-08,3.81577699590593e-07
"ACAD11_+_132379379.23-P1P2","ACAD11__P1P2",2076.67112068154,-1.23509103753156,0.153093238101901,-8.06757406691901,7.17087043049129e-16,1.14959500626568e-14
"ACAD11__P1P2__primary__FWD__56","ACAD11__P1P2",2607.16655046053,0.292972163086771,0.136771626268172,2.14205366332584,0.0321891640029914,0.0585658915898094
"ACAD11__P1P2__primary__FWD__65","ACAD11__P1P2",2474.95676644645,0.183444952043172,0.0828127683657162,2.2151771479616,0.0267479077631544,0.0504087175692146
"ACAD11__P1P2__primary__FWD__66","ACAD11__P1P2",2359.65534243621,0.0352400160387345,0.0710038345072639,0.496311449702471,0.619674689354433,0.674495280690083
"ACADS__P1P2__primary__RVS__-24","ACADS__P1P2",2290.80472270296,0.244666642335546,0.0924868013708761,2.6454222517051,0.0081589034103812,0.0182159699614298
"ACADS_+_121164090.23-P1P2","ACADS__P1P2",1474.91939900579,-2.15891614131685,0.272132836214665,-7.93331731424666,2.13368338499056e-15,3.2181395976423e-14
"ACADS__P1P2__primary__RVS__0","ACADS__P1P2",2629.81796276239,0.212840618772133,0.0850081191414429,2.50376812146605,0.0122878536814977,0.0257888252417208
"ACADS__P1P2__primary__RVS__86","ACADS__P1P2",2647.48371283452,0.0628302494792541,0.0725209700102699,0.866373539548031,0.386285349730104,0.455036623045815
"ACADS__P1P2__primary__FWD__90","ACADS__P1P2",3008.24451360709,0.213780775447607,0.0753585807907963,2.83684715402332,0.00455614173830092,0.0108449165319488
"ACADS__P1P2__primary__RVS__225","ACADS__P1P2",2459.4385552581,0.103935151704971,0.0845406254883442,1.22941072537133,0.218917850991242,0.285070138669742
"ACADS__P1P2__primary__RVS__240","ACADS__P1P2",2224.1605746712,0.136599228379884,0.0735690955174596,1.85674742117043,0.0633470973599471,0.102470755719407
"ACADS__P1P2__primary__FWD__232","ACADS__P1P2",2335.28951825734,0.0885596770620031,0.0754315790246197,1.17403981471869,0.240379078415269,0.308412695944753
"ACAT2_+_160183436.23-P1P2","ACAT2__P1P2",1628.62710748817,-0.913160019282407,0.188797059472344,-4.8367279757139,1.31993868236241e-06,5.97241414080151e-06
"ACAT2_+_160183505.23-P1P2","ACAT2__P1P2",1834.32746598131,-1.47463010292592,0.178428554808586,-8.26454097836451,1.40233286599402e-16,2.4247837752536e-15
"ACAT2_-_160183095.23-P1P2","ACAT2__P1P2",1415.36711115594,-2.72681402255099,0.275571206337839,-9.89513403373513,4.37024607921802e-23,1.63386458629607e-21
"ACAT2_-_160183174.23-P1P2","ACAT2__P1P2",1521.95704832517,-1.97188822796829,0.227537627903089,-8.66620719456627,4.4675362610772e-18,9.30304378838936e-17
"ACAT2__P1P2__secondary__FWD__36","ACAT2__P1P2",1973.51095933994,-0.83912148959934,0.101488810718037,-8.2681182650829,1.36089861146952e-16,2.35734906169219e-15
"ACAT2__P1P2__secondary__FWD__41","ACAT2__P1P2",1993.18685566289,-0.865873543968827,0.116601287342628,-7.42593468479038,1.11986252468171e-13,1.35038964215355e-12
"ACAT2__P1P2__secondary__FWD__62","ACAT2__P1P2",1579.77037588282,-1.89893953178226,0.249857291112176,-7.60009653242304,2.9590993441476e-14,3.85638747636355e-13
"ACAT2__P1P2__primary__FWD__72","ACAT2__P1P2",1221.92061101967,-1.64178630458576,0.19070677092659,-8.60895654941242,7.37285864561856e-18,1.4998191232253e-16
"ACLY_-_40074817.23-P1P2","ACLY__P1P2",1974.00109325883,-0.906204083541447,0.250045523128194,-3.62415640241978,0.000289906141258722,0.000895426209189219
"ACLY_-_40075227.23-P1P2","ACLY__P1P2",921.349464023264,-1.68061822876101,0.32490806481827,-5.17259622256847,2.30863543320532e-07,1.18843790003866e-06
"ACLY_+_40075121.23-P1P2","ACLY__P1P2",1394.44905985009,-0.883827908965912,0.233318473382913,-3.78807514103441,0.000151818938063335,0.000494304901569357
"ACLY_-_40075090.23-P1P2","ACLY__P1P2",1629.96031149465,-0.879219259857626,0.225804532749474,-3.89371838178778,9.8719249052407e-05,0.000330531980834874
"ACLY_+_40074807.23-P1P2","ACLY__P1P2",3335.80913008767,1.01695857679183,0.284172989018152,3.57866023898166,0.000345360096076546,0.00105227243873795
"ACLY__P1P2__primary__FWD__16","ACLY__P1P2",1437.83665501839,-1.41442247872023,0.274648378695471,-5.14993929852591,2.60570776908919e-07,1.32935028072132e-06
"ACLY__P1P2__primary__FWD__51","ACLY__P1P2",2067.68825231971,0.121840029708031,0.0706393706341889,1.72481759979131,0.0845603489689254,0.13005048587454
"ACLY__P1P2__primary__FWD__95","ACLY__P1P2",1941.87814729882,-0.259458135228837,0.149371816855671,-1.73699524241267,0.0823880106367095,0.127336489544335
"ACTA2_+_90750678.23-P2","ACTA2__P2",1194.28693721667,-2.29094168976585,0.291298775869918,-7.86457712678095,3.70346354607691e-15,5.44167488871969e-14
"ACTA2_-_90751066.23-P2","ACTA2__P2",2438.40184449655,0.163032033148796,0.0737175095659014,2.21157814620759,0.0269958268035378,0.0508067232145106
"ACTA2__P2__primarysecondary__FWD__36","ACTA2__P2",2200.45446641383,0.12176362144681,0.0653591362751508,1.86299312362706,0.0624632336923977,0.101294840369031
"ACTA2__P2__primarysecondary__RVS__39","ACTA2__P2",2539.72278175547,0.223421255773362,0.0750413635428467,2.97730805019013,0.00290791669802325,0.00728333093299511
"ACTA2__P2__primarysecondary__RVS__44","ACTA2__P2",2530.29065238249,0.0109261724223961,0.0857998570649719,0.127344879072727,0.898667441059505,0.915689448782405
"ACTA2__P2__primarysecondary__RVS__49","ACTA2__P2",2805.26858657913,0.039817634522455,0.0726964709158562,0.547724449630336,0.583881121362393,0.64064826041383
"ACTA2__P2__primarysecondary__RVS__59","ACTA2__P2",2825.43963108479,0.0963353405337477,0.0653455472617931,1.47424491140614,0.14041566162071,0.197361954897012
"ACTA2__P2__primarysecondary__FWD__69","ACTA2__P2",3121.85711408236,0.194307395032504,0.0725246447345858,2.67919126999655,0.00738002241139201,0.0166808489751421
"ACTR5_+_37377152.23-P1P2","ACTR5__P1P2",2100.31792544704,-1.35116209943714,0.264517936614555,-5.10801693348306,3.25557481482158e-07,1.62913338149444e-06
"ACTR5_+_37377138.23-P1P2","ACTR5__P1P2",1576.01351021931,-1.21381030287884,0.230693368946864,-5.26157430714195,1.42827144131812e-07,7.55735101982699e-07
"ACTR5_+_37377158.23-P1P2","ACTR5__P1P2",1337.38537650013,-1.71289946785885,0.21542834982076,-7.95113303000284,1.84813356328809e-15,2.81818540052261e-14
"ACTR5_-_37377127.23-P1P2","ACTR5__P1P2",1575.10298173358,-0.616101562678386,0.168138595093817,-3.66424830857315,0.000248066040081405,0.000776098050438851
"ACTR5__P1P2__primarysecondary__FWD__7","ACTR5__P1P2",2474.61579101737,0.156112872663677,0.0853485678322834,1.82912117483273,0.0673814574975483,0.107790294556213
"ACTR5__P1P2__primarysecondary__FWD__35","ACTR5__P1P2",2372.15035644782,0.227514270531486,0.119248935738184,1.907893509683,0.0564049813204497,0.0931870728759451
"ACTR5__P1P2__primarysecondary__RVS__71","ACTR5__P1P2",2152.34145207636,-0.642586266240295,0.140367921886625,-4.57787119452627,4.69731769777621e-06,1.94792836263671e-05
"ACTR5__P1P2__primarysecondary__RVS__76","ACTR5__P1P2",1563.46714347647,-1.11450545087249,0.193453338945985,-5.76110733960335,8.35638733665978e-09,5.27132889777698e-08
"ACTR8_-_53916193.23-P1P2","ACTR8__P1P2",1580.19042518645,-2.10273664988035,0.364314286157675,-5.77176556005352,7.84452079164012e-09,4.97110568229393e-08
"ACTR8_-_53915974.23-P1P2","ACTR8__P1P2",762.038235742359,-3.54495899719558,0.335435858481334,-10.568217164513,4.18372267621374e-26,2.08819518936998e-24
"ACTR8__P1P2__primary__RVS__3","ACTR8__P1P2",1163.81897453171,-1.83135646742394,0.296864465835563,-6.16899857741261,6.87238463513647e-10,5.03368384432878e-09
"ACTR8_+_53916142.23-P1P2","ACTR8__P1P2",1398.0926570201,-4.08337540216967,0.343251538332007,-11.8961605300078,1.23918352849069e-32,1.2243891945281e-30
"ACTR8__P1P2__primary__RVS__20","ACTR8__P1P2",1734.37442573179,-1.45834686512257,0.23488111854995,-6.20887227600816,5.33661733439236e-10,3.97801891061749e-09
