group_id	items_in_group	lo_value	p	FDR	goodsgrna
MYSM1__P1P2	8	1.8195e-10	5.1389e-07	0.000002	8
SEC62__P1P2	8	1.8195e-10	5.1389e-07	0.000002	8
ANAPC13__P1P2	8	1.8195e-10	5.1389e-07	0.000002	8
CENPF__P1P2	8	1.8195e-10	5.1389e-07	0.000002	8
C7orf26__P1P2	8	2.5071e-10	5.1389e-07	0.000002	8
CEP63__P1P2	8	2.5568e-10	5.1389e-07	0.000002	8
RNF8__P1P2	8	2.2745e-08	5.1389e-07	0.000002	8
PPM1G__P1	8	2.2745e-08	5.1389e-07	0.000002	8
ATP6AP1__P1P2	8	2.2745e-08	5.1389e-07	0.000002	8
PMVK__P1P2	8	2.2745e-08	5.1389e-07	0.000002	8
WDR70__P1P2	8	2.2745e-08	5.1389e-07	0.000002	8
MLF1IP__P1P2	8	2.2745e-08	5.1389e-07	0.000002	7
METTL15__P2	8	2.2745e-08	5.1389e-07	0.000002	8
ACAT2__P1P2	8	2.2745e-08	5.1389e-07	0.000002	8
UBE2C__P1P2	8	2.2745e-08	5.1389e-07	0.000002	8
NDUFS8__P1P2	8	2.2745e-08	5.1389e-07	0.000002	7
BUB1__P1P2	8	2.2745e-08	5.1389e-07	0.000002	8
PALB2__P1P2	8	2.2880e-08	5.1389e-07	0.000002	7
PPP2R5C__P1P2	8	2.3015e-08	5.1389e-07	0.000002	7
RPL36A__P1P2	8	2.3152e-08	5.1389e-07	0.000002	8
HMGCS1__P1P2	8	2.3426e-08	5.1389e-07	0.000002	8
SOX4__P1	8	2.3703e-08	5.1389e-07	0.000002	8
USP28__P1P2	8	2.5874e-08	5.1389e-07	0.000002	8
WDR48__P1P2	8	2.6176e-08	5.1389e-07	0.000002	7
NSMCE4A__P1P2	8	3.0212e-08	5.1389e-07	0.000002	8
TP53__P1P2	8	7.7677e-08	5.1389e-07	0.000002	8
ACTR8__P1P2	8	3.8456e-07	5.1389e-07	0.000002	8
TRIP12__P1P2	8	6.7053e-07	5.1389e-07	0.000002	8
CCDC6__P1P2	8	7.2825e-07	5.1389e-07	0.000002	8
PHF8__P1P2	11	8.1089e-07	5.1389e-07	0.000002	9
UBE2S__P1P2	8	8.8151e-07	5.1389e-07	0.000002	8
HUS1__P1P2	8	1.2468e-06	5.1389e-07	0.000002	8
DICER1__P1P2	8	1.2468e-06	5.1389e-07	0.000002	7
DDRGK1__P1P2	8	1.2468e-06	5.1389e-07	0.000002	6
DUSP12__P1P2	8	1.2468e-06	5.1389e-07	0.000002	6
CHEK1__P1P2	8	1.2468e-06	5.1389e-07	0.000002	8
ORC5__P1P2	8	1.2468e-06	5.1389e-07	0.000002	7
KIAA0020__P1	8	1.2468e-06	5.1389e-07	0.000002	7
DCPS__P1P2	8	1.2468e-06	5.1389e-07	0.000002	8
ANLN__P1P2	8	1.2468e-06	5.1389e-07	0.000002	6
RAD9A__P1P2	8	1.2594e-06	5.1389e-07	0.000002	7
KIF18B__P1P2	8	1.2657e-06	5.1389e-07	0.000002	8
CDC26__P1P2	8	1.2913e-06	5.1389e-07	0.000002	7
RIF1__P1P2	8	1.3909e-06	5.1389e-07	0.000002	6
DGCR8__P1P2	8	1.5711e-06	5.1389e-07	0.000002	8
CTNND1__P1P2	8	1.9425e-06	5.1389e-07	0.000002	8
MAD2L1BP__P1P2	8	2.4490e-06	5.1389e-07	0.000002	8
CYP51A1__P1P2	8	3.3110e-06	5.1389e-07	0.000002	8
MMAB__P1P2	8	3.4457e-06	5.1389e-07	0.000002	8
MUT__P1P2	11	5.5664e-06	5.1389e-07	0.000002	9
BAK1__33547269	8	5.7522e-06	5.1389e-07	0.000002	8
KIRREL__P1P2	8	6.1274e-06	5.1389e-07	0.000002	8
ATF6__P1P2	8	7.2523e-06	5.1389e-07	0.000002	8
UBA5__P1P2	8	7.6562e-06	5.1389e-07	0.000002	8
TERF1__P1P2	8	1.0375e-05	5.1389e-07	0.000002	8
LEO1__P1P2	8	1.0447e-05	5.1389e-07	0.000002	8
MINOS1-NBL1__P1P2	8	1.3627e-05	5.1389e-07	0.000002	8
WDR7__P1P2	8	1.4591e-05	5.1389e-07	0.000002	8
CHEK2__P1P2	4	1.4773e-05	5.1389e-07	0.000002	4
MKI67__P1P2	8	1.6350e-05	5.1389e-07	0.000002	8
FAM64A__P1P2	8	1.7738e-05	5.1389e-07	0.000002	8
IBTK__P1	8	1.7969e-05	5.1389e-07	0.000002	8
AUNIP__P1P2	8	3.0641e-05	5.1389e-07	0.000002	7
TUBA1C__P1P2	8	3.1725e-05	5.1389e-07	0.000002	8
ZNF532__P1	8	3.3488e-05	5.1389e-07	0.000002	8
TP53BP1__P1	8	3.4710e-05	5.1389e-07	0.000002	8
ZZZ3__P1P2	8	3.5231e-05	5.1389e-07	0.000002	8
PDS5B__P1P2	8	3.6780e-05	5.1389e-07	0.000002	8
CHERP__P1P2	8	3.9196e-05	5.1389e-07	0.000002	5
ANKRD49__P1P2	8	3.9196e-05	5.1389e-07	0.000002	5
ZRSR2__P1P2	8	3.9196e-05	5.1389e-07	0.000002	6
CTDSPL2__P1P2	8	3.9196e-05	5.1389e-07	0.000002	6
BTAF1__P1P2	8	3.9196e-05	5.1389e-07	0.000002	6
