id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SMN2__ENST00000380743.4	5	2.115e-12	2.4115e-07	5e-06	1	5	-8.4537	1.0	1.0	1.0	20527	0	0
SMN1__ENST00000380707.4	5	2.115e-12	2.4115e-07	5e-06	2	5	-8.4537	1.0	1.0	1.0	20528	0	0
LSM6__P1P2	5	7.7658e-12	2.4115e-07	5e-06	3	5	-8.4047	1.0	1.0	1.0	20526	0	0
CENPA__P2	5	8.0169e-12	2.4115e-07	5e-06	4	5	-8.3866	1.0	1.0	1.0	20525	0	0
ABCB7__P1P2	5	9.017e-12	2.4115e-07	5e-06	5	5	-8.2941	1.0	1.0	1.0	20524	0	0
RFC3__P1P2	5	1.6968e-11	2.4115e-07	5e-06	6	5	-8.1634	1.0	1.0	1.0	20523	0	0
SF3A2__P1	5	1.0147e-10	2.4115e-07	5e-06	7	5	-8.0449	1.0	1.0	1.0	20522	0	0
GEMIN5__P1P2	5	1.5458e-10	2.4115e-07	5e-06	8	5	-7.8042	1.0	1.0	1.0	20521	0	0
RPAP3__P1P2	5	1.9731e-10	2.4115e-07	5e-06	9	5	-8.0369	1.0	1.0	1.0	20520	0	0
MED30__P1P2	5	2.2791e-10	2.4115e-07	5e-06	10	5	-7.9909	1.0	1.0	1.0	20519	0	0
CLNS1A__P1P2	5	4.9388e-10	2.4115e-07	5e-06	11	5	-7.8079	1.0	1.0	1.0	20518	0	0
HSD17B10__P1P2	5	5.3468e-10	2.4115e-07	5e-06	12	5	-7.6954	1.0	1.0	1.0	20517	0	0
ZC3H8__P1P2	5	5.9189e-10	2.4115e-07	5e-06	13	5	-8.1611	1.0	1.0	1.0	20516	0	0
ORC5__P1P2	5	5.9787e-10	2.4115e-07	5e-06	14	5	-7.9301	1.0	1.0	1.0	20515	0	0
PLK4__P1P2	5	6.2228e-10	2.4115e-07	5e-06	15	5	-7.6833	1.0	1.0	1.0	20514	0	0
FARSB__P1P2	5	6.7349e-10	2.4115e-07	5e-06	16	5	-8.0452	1.0	1.0	1.0	20513	0	0
GEMIN2__P1P2	5	6.868e-10	2.4115e-07	5e-06	17	5	-7.7669	1.0	1.0	1.0	20512	0	0
ZNF574__P1	5	7.3271e-10	2.4115e-07	5e-06	18	5	-7.2763	1.0	1.0	1.0	20511	0	0
TTC1__P1P2	5	8.345e-10	2.4115e-07	5e-06	19	5	-7.8024	1.0	1.0	1.0	20510	0	0
ANAPC4__P1P2	5	8.503e-10	2.4115e-07	5e-06	20	5	-7.4307	1.0	1.0	1.0	20509	0	0
MCM2__P1P2	5	9.047e-10	2.4115e-07	5e-06	21	5	-7.7131	1.0	1.0	1.0	20508	0	0
DCTN3__P1P2	5	9.8253e-10	2.4115e-07	5e-06	22	5	-7.5405	1.0	1.0	1.0	20507	0	0
EIF3H__P1P2	5	1.0311e-09	2.4115e-07	5e-06	23	5	-7.3322	1.0	1.0	1.0	20506	0	0
KANSL2__P1P2	5	1.7095e-09	2.4115e-07	5e-06	24	5	-7.7789	1.0	1.0	1.0	20476	0	0
YTHDC1__P1P2	5	1.8522e-09	2.4115e-07	5e-06	25	5	-7.4306	1.0	1.0	1.0	20505	0	0
PSMD4__P1P2	5	2.0266e-09	2.4115e-07	5e-06	26	5	-7.3587	1.0	1.0	1.0	20504	0	0
ZNHIT6__P1P2	5	2.3843e-09	2.4115e-07	5e-06	27	5	-7.9646	1.0	1.0	1.0	20503	0	0
USP39__P1	5	2.5079e-09	2.4115e-07	5e-06	28	5	-7.569	1.0	1.0	1.0	20502	0	0
DROSHA__P1P2	5	2.8602e-09	2.4115e-07	5e-06	29	5	-7.7563	1.0	1.0	1.0	20501	0	0
SAMM50__P1P2	5	3.2433e-09	2.4115e-07	5e-06	30	5	-7.452	1.0	1.0	1.0	20500	0	0
NRDE2__P1P2	5	3.3931e-09	2.4115e-07	5e-06	31	5	-7.6598	1.0	1.0	1.0	20499	0	0
TAF2__P1P2	5	3.7596e-09	2.4115e-07	5e-06	32	5	-7.6867	1.0	1.0	1.0	20449	0	0
NSRP1__P1P2	5	3.8582e-09	2.4115e-07	5e-06	33	5	-7.8462	1.0	1.0	1.0	20498	0	0
EIF2B3__P1P2	5	3.9661e-09	2.4115e-07	5e-06	34	5	-7.5002	1.0	1.0	1.0	20497	0	0
DKC1__P1P2	5	4.021e-09	2.4115e-07	5e-06	35	5	-7.6054	1.0	1.0	1.0	20496	0	0
LAS1L__P1P2	5	4.0394e-09	2.4115e-07	5e-06	36	5	-7.3746	1.0	1.0	1.0	20495	0	0
SRBD1__P1P2	5	5.344e-09	2.4115e-07	5e-06	37	5	-6.8924	1.0	1.0	1.0	20494	0	0
KTI12__P1P2	5	5.3672e-09	2.4115e-07	5e-06	38	5	-7.5076	1.0	1.0	1.0	20493	0	0
ATP5J2-PTCD1__P1	5	5.402e-09	2.4115e-07	5e-06	39	5	-6.7966	1.0	1.0	1.0	20492	0	0
POLR1E__P1P2	5	5.9216e-09	2.4115e-07	5e-06	40	5	-7.6383	1.0	1.0	1.0	20491	0	0
C12orf45__P1P2	5	6.7963e-09	2.4115e-07	5e-06	41	5	-7.1103	1.0	1.0	1.0	20490	0	0
AARS__P1P2	5	7.2708e-09	2.4115e-07	5e-06	42	5	-7.2363	1.0	1.0	1.0	20489	0	0
INTS2__P1P2	5	8.4481e-09	2.4115e-07	5e-06	43	5	-7.0974	1.0	1.0	1.0	20488	0	0
POLD2__P1P2	5	8.5317e-09	2.4115e-07	5e-06	44	5	-7.2605	1.0	1.0	1.0	20487	0	0
SNAP23__P1P2	5	9.4046e-09	2.4115e-07	5e-06	45	5	-7.2966	1.0	1.0	1.0	20486	0	0
SNRPG__P1P2	5	9.4227e-09	2.4115e-07	5e-06	46	5	-6.819	1.0	1.0	1.0	20485	0	0
WDR5__P1P2	5	9.5565e-09	2.4115e-07	5e-06	47	5	-6.9611	1.0	1.0	1.0	20350	0	0
PSMA5__P1P2	5	1.0291e-08	2.4115e-07	5e-06	48	5	-7.7123	1.0	1.0	1.0	20468	0	0
MYBBP1A__P1P2	5	1.1176e-08	2.4115e-07	5e-06	49	5	-6.6071	1.0	1.0	1.0	20484	0	0
PHAX__P1	5	1.1386e-08	2.4115e-07	5e-06	50	5	-6.7842	1.0	1.0	1.0	20483	0	0
MFAP1__P1P2	5	1.3183e-08	2.4115e-07	5e-06	51	5	-6.1266	1.0	1.0	1.0	20139	0	0
