id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ORC5__P1P2	8	3.8493e-11	4.9462e-06	2.8e-05	1	8	-2.5791	0.99978	1.0	1.0	898	0	0
ANAPC13__P1P2	8	4.9812e-11	4.9462e-06	2.8e-05	2	8	-2.6789	1.0	1.0	1.0	971	0	0
ACTR8__P1P2	8	3.9228e-10	4.9462e-06	2.8e-05	3	8	-2.5947	1.0	1.0	1.0	970	0	0
C7orf26__P1P2	8	1.6134e-09	4.9462e-06	2.8e-05	4	8	-2.5828	1.0	1.0	1.0	969	0	0
CEP63__P1P2	8	2.9837e-09	4.9462e-06	2.8e-05	5	8	-2.8518	1.0	1.0	1.0	957	0	0
BUB1__P1P2	8	4.8591e-09	4.9462e-06	2.8e-05	6	8	-2.2064	1.0	1.0	1.0	968	0	0
PMVK__P1P2	8	4.9476e-09	4.9462e-06	2.8e-05	7	8	-2.619	1.0	1.0	1.0	967	0	0
PPM1G__P1	8	5.2686e-09	4.9462e-06	2.8e-05	8	8	-2.3238	1.0	1.0	1.0	966	0	0
ATP6AP1__P1P2	8	7.6966e-09	4.9462e-06	2.8e-05	9	8	-2.7554	1.0	1.0	1.0	956	0	0
WDR70__P1P2	8	1.9064e-08	4.9462e-06	2.8e-05	10	8	-2.3981	1.0	1.0	1.0	965	0	0
SNRPB2__P1P2	8	2.0977e-08	4.9462e-06	2.8e-05	11	7	-2.4724	0.61519	0.47056	1.0	403	0	0
CENPF__P1P2	8	2.2004e-08	4.9462e-06	2.8e-05	12	8	-2.4262	1.0	1.0	1.0	964	0	0
SEC62__P1P2	8	3.0379e-08	4.9462e-06	2.8e-05	13	8	-2.4575	1.0	1.0	1.0	963	0	0
NDUFS8__P1P2	8	3.1497e-08	4.9462e-06	2.8e-05	14	8	-2.38	0.99999	1.0	1.0	937	0	0
